chemistry,comparison,n_matched_seeds,mean_diff_mae_pct,ci95_lo,ci95_hi,seed_differences,method
LFP,G4-T6,10,0.04276372949912057,0.006914075543852531,0.07861338345438862,"0.139104998847,0.0361424984343,0.0839980563665,0.0391713229554,0.0199800015901,0.00606120087756,0.0088820465583,0.103443333955,-0.0184777951491,0.00933163055608",matched_seed_Student_t
LFP,T7-T6,10,0.3496348131902883,0.24346265453065785,0.4558069718499187,"0.25960023752,0.292015351871,0.247124657599,0.597947217968,0.569505832654,0.236301660471,0.151826273226,0.301992993855,0.452924238686,0.387109668054",matched_seed_Student_t
LFP,G0-T6,10,1.8002700297712344,1.7308272147999626,1.8697128447425062,"1.95902779788,1.74753705111,1.63844112312,1.85065172031,1.82199816491,1.86554820573,1.78907341587,1.66438913281,1.86929450421,1.79673918177",matched_seed_Student_t
NMC,G4-T6,10,0.13474300412853396,0.09560822125091695,0.17387778700615097,"0.144334880494,0.135972461842,0.252097629304,0.190944411027,0.133717098913,0.103978319969,0.121087136225,0.0501345043182,0.116039901113,0.0991236980804",matched_seed_Student_t
NMC,T7-T6,10,0.22854083946193718,0.19416081479435016,0.2629208641295242,"0.287837965669,0.229526775004,0.220128461707,0.230031751108,0.3060579877,0.23281005326,0.178004285887,0.176264644531,0.264147093903,0.16059937585",matched_seed_Student_t
NMC,G0-T6,10,0.24408497243481136,0.2018488758262464,0.28632106904337634,"0.294787228889,0.21903328647,0.309108070994,0.271514251898,0.291439352246,0.219106531796,0.229212555941,0.130175152532,0.297665323615,0.178807969969",matched_seed_Student_t
