chemistry,feature,fold,seed,temperature_C,reevaluated_mae_pct,locked_mae_pct,abs_mae_delta_pct,max_abs_prediction_delta_fraction,deterministic_bit_identical,atol,passed,package_path,locked_metric_path
NMC,G4,FUDS,1,25.0,0.2956310064277746,0.2956311172477406,1.1081996598161226e-07,2.661750793109263e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_by_temperature.csv
NMC,G4,FUDS,1,45.0,0.3012718876452986,0.3012720595537159,1.7190841727909856e-07,2.661750793109263e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_by_temperature.csv
NMC,G4,FUDS,2,0.0,0.4392922565808392,0.439292173944514,8.26363252270923e-08,2.0108718867817288e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_by_temperature.csv
NMC,G4,FUDS,2,25.0,0.2667516852084741,0.2667517805837865,9.537531242553854e-08,2.0108718867817288e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_by_temperature.csv
NMC,G4,FUDS,2,45.0,0.28458069839744765,0.2845806419370581,5.646038953033283e-08,2.0108718867817288e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,0,0.0,0.4785535587217388,0.4785535495531188,9.168620029864627e-09,2.0730590821749217e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/0,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,0,25.0,0.3713079005649147,0.3713077844428316,1.1612208311584382e-07,2.0730590821749217e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/0,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,0,45.0,0.1800754628187762,0.180075615850747,1.5303197078986308e-07,2.0730590821749217e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/0,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,1,0.0,0.5022000238830828,0.5021999689322773,5.4950805572495653e-08,2.0674438472312318e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,1,25.0,0.33119827758481923,0.3311980635210887,2.1406373051924277e-07,2.0674438472312318e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,1,45.0,0.20150560489115135,0.2015054022380158,2.026531355503458e-07,2.0674438472312318e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,2,0.0,0.45950008619847404,0.4595001012033158,1.500484175798178e-08,2.0817771148595732e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,2,25.0,0.3881315477704337,0.3881313538194745,1.9395095918195437e-07,2.0817771148595732e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
NMC,G4,US06,2,45.0,0.1603550837804954,0.1603549540070382,1.297734572025533e-07,2.0817771148595732e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_by_temperature.csv
