feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,FUDS,1,45.0,2,5809,2295.7987100000028,True,5875.983080000002
T6_plain,FUDS,1,45.0,3,6963,1561.9442000000017,True,4709.95765
T6_plain,FUDS,1,45.0,4,9827,1273.9462300000014,True,1816.364300000001
T6_plain,FUDS,2,0.0,0,1214,49.405140000002575,True,8576.94298
T6_plain,FUDS,2,0.0,1,3394,2479.9361500000014,True,6374.26339
T6_plain,FUDS,2,0.0,2,4960,2209.768820000001,True,4791.894059999999
T6_plain,FUDS,2,0.0,3,6606,647.2107200000028,True,3129.33727
T6_plain,FUDS,2,0.0,4,7765,774.2253899999996,True,1958.992879999998
T6_plain,FUDS,2,25.0,0,1236,50.49964000000182,True,9951.756389999995
T6_plain,FUDS,2,25.0,1,4004,1940.6586300000054,True,7157.08266
T6_plain,FUDS,2,25.0,2,5400,1525.5879800000039,True,5747.608919999999
T6_plain,FUDS,2,25.0,3,6696,1587.397490000003,True,4438.335359999997
T6_plain,FUDS,2,25.0,4,9891,,False,1212.0891699999993
T6_plain,FUDS,2,45.0,0,1229,353.7783100000015,True,10503.378840000001
T6_plain,FUDS,2,45.0,1,4837,2246.598679999999,True,6857.57271
T6_plain,FUDS,2,45.0,2,5809,2295.7987100000028,True,5875.983080000002
T6_plain,FUDS,2,45.0,3,6963,1470.9761199999994,True,4709.95765
T6_plain,FUDS,2,45.0,4,9827,1308.2897200000007,True,1816.364300000001
T6_plain,US06,0,0.0,0,2408,49.577440000000934,True,7144.60614
T6_plain,US06,0,0.0,1,3573,51.5461400000022,True,5967.869350000001
T6_plain,US06,0,0.0,2,4145,1198.6910900000003,True,5389.595819999999
T6_plain,US06,0,0.0,3,5960,2169.0812000000005,True,3556.7373799999987
T6_plain,US06,0,0.0,4,7860,1174.7686100000028,True,1637.4496900000013
T6_plain,US06,0,25.0,0,2536,91.98322000000007,True,8218.174719999999
T6_plain,US06,0,25.0,1,4266,1573.8128599999982,True,6472.705829999999
T6_plain,US06,0,25.0,2,4896,1550.4854599999999,True,5836.289550000001
T6_plain,US06,0,25.0,3,7768,466.71364999999787,True,2936.2849099999985
T6_plain,US06,0,25.0,4,8446,619.2911999999997,True,2251.4784199999995
T6_plain,US06,0,45.0,0,1371,49.639970000000176,True,9608.171009999998
T6_plain,US06,0,45.0,1,4531,1414.708050000001,True,6415.779640000001
T6_plain,US06,0,45.0,2,5722,1331.1496000000006,True,5212.55428
T6_plain,US06,0,45.0,3,6759,915.4021100000027,True,4165.512050000001
T6_plain,US06,0,45.0,4,9483,637.5759899999975,True,1413.197799999998
