perturbation_type,level,feature,mae,baseline_mae,delta_mae
current_noise,I_sigma_0.5_pct_reading,T6_plain,0.3292165830658761,0.32915755893728105,5.9024128595012835e-05
current_noise,I_sigma_1_pct_reading,T6_plain,0.329142806659401,0.32915755893728105,-1.4752277880114402e-05
current_noise,I_sigma_2_pct_reading,T6_plain,0.329001042278947,0.32915755893728105,-0.00015651665833407662
voltage_noise,V_sigma_10_mV,T6_plain,0.34280982237804064,0.32915755893728105,0.013652263440759588
voltage_noise,V_sigma_1_mV,T6_plain,0.32943320856195585,0.32915755893728105,0.00027564962467480655
voltage_noise,V_sigma_2_mV,T6_plain,0.3294138449670701,0.32915755893728105,0.0002562860297890125
voltage_noise,V_sigma_5_mV,T6_plain,0.33152802724874797,0.32915755893728105,0.0023704683114668963
current_bias,I_bias_+10_mA,T6_plain,0.3510504614614939,0.32915755893728105,0.02189290252421284
current_bias,I_bias_+20_mA,T6_plain,0.40704185585175073,0.32915755893728105,0.0778842969144696
current_bias,I_bias_-10_mA,T6_plain,0.34293531884325684,0.32915755893728105,0.013777759905975757
current_bias,I_bias_-20_mA,T6_plain,0.38881925380933413,0.32915755893728105,0.059661694872053014
voltage_bias,V_bias_+10_mV,T6_plain,1.4879219530748113,0.32915755893728105,1.1587643941375303
voltage_bias,V_bias_+1_mV,T6_plain,0.35137802218846026,0.32915755893728105,0.022220463251179202
voltage_bias,V_bias_+2_mV,T6_plain,0.42092276677776175,0.32915755893728105,0.0917652078404807
voltage_bias,V_bias_+5_mV,T6_plain,0.7638813452459126,0.32915755893728105,0.43472378630863157
voltage_bias,V_bias_-10_mV,T6_plain,1.566869358742735,0.32915755893728105,1.2377117998054539
voltage_bias,V_bias_-1_mV,T6_plain,0.3627398800930892,0.32915755893728105,0.03358232115580811
voltage_bias,V_bias_-2_mV,T6_plain,0.4448267621150015,0.32915755893728105,0.1156692031777204
voltage_bias,V_bias_-5_mV,T6_plain,0.8255232613667485,0.32915755893728105,0.4963657024294675
r0_scale,r0_scale_0.5,T6_plain,3.3462993222695654,0.32915755893728105,3.017141763332284
r0_scale,r0_scale_0.8,T6_plain,1.3675530258827986,0.32915755893728105,1.0383954669455178
r0_scale,r0_scale_1.2,T6_plain,1.2756715804935241,0.32915755893728105,0.9465140215562431
r0_scale,r0_scale_1.5,T6_plain,3.234964957647291,0.32915755893728105,2.90580739871001
r0_scale,r0_scale_2,T6_plain,6.462582492750331,0.32915755893728105,6.13342493381305
