feature,seed,mae
G0,0,2.6975448202877765
G0,1,2.3788633290725536
G0,2,2.2643656599007764
G4,0,0.7679632267121934
G4,1,0.6860925030561492
G4,2,0.7045282268171146
T6,0,0.6417820905216792
T6,1,0.650119216622488
T6,2,0.6325899147254628
T7,0,0.9950435339001893
T7,1,0.9571790559766598
T7,2,0.8500222906575918
