comparison,n_matched_seeds,mean_diff_mae_pct,ci95_lo,ci95_hi,seed_differences,method
G4-T6,3,0.07803091157194242,-0.03477749536462384,0.19083931850850866,"0.126181136191,0.0359732864337,0.0719383120917",matched_seed_Student_t
T7-T6,3,0.2925845528882703,0.12102549311551417,0.46414361266102644,"0.353261443379,0.307059839354,0.217432375932",matched_seed_Student_t
G0-T6,3,1.8054275291304922,1.2535714270877523,2.357283631173232,"2.05576272977,1.72874411245,1.63177574518",matched_seed_Student_t
