fold_holdout,trial_id,selected,objective_training_slice_unweighted_mae_pct,oracle_training_mae_pct,minus5pp_training_mae_pct,minus10pp_training_mae_pct,minus5pp_recovered_fraction,minus10pp_recovered_fraction,diverged_runs,training_profiles,training_files_sha256,n_training_records,n_training_runs,heldout_files_passed_to_selection,heldout_file_count,lambda_min,nis_threshold,nis_ema_beta
DST,0,False,15.505106513651064,31.414440858711362,0.9504396046073287,14.150439077634502,0.9375,0.0625,6,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,1.0,0.0
DST,1,False,11.495546851654991,18.91413927005801,7.136692728657251,8.435808556249714,0.8125,0.0625,4,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,1.0,0.5
DST,2,False,11.331249446909569,18.896804130977692,0.9488166528023352,14.148127556948683,0.875,0.0,4,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,1.0,0.9
DST,3,False,3.179695300107975,0.16108343962231852,0.9367699503600055,8.441232510341601,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,1.0,0.99
DST,4,False,3.186640311281344,0.16279500436284183,0.971496765783751,8.425629163697439,0.875,0.0625,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,2.0,0.0
DST,5,False,5.237214349355824,0.16710852712476715,7.107830192349396,8.436704328593308,0.8125,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,2.0,0.5
DST,6,False,3.1864509981788594,0.17120481097816234,0.9490545526149567,8.43909363094346,0.875,0.0625,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,2.0,0.9
DST,7,False,3.1762409388623642,0.16030657185789976,0.9206748319553493,8.447741412773844,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,2.0,0.99
DST,8,False,3.173913985769154,0.16245874543708816,0.9224224553931484,8.436860756477227,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,4.0,0.0
DST,9,False,3.1745183455757875,0.16280413897243506,0.922389316759527,8.4383615809954,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,4.0,0.5
DST,10,False,3.1752988136492046,0.16013180637395524,0.9206794840216,8.445085150552059,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,4.0,0.9
DST,11,False,3.1747421995741285,0.15327192327997383,0.9203257719646447,8.450628903477767,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,4.0,0.99
DST,12,False,3.172910410180402,0.15322306165362837,0.9203253496652823,8.445182819222296,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,9.0,0.0
DST,13,True,3.1728375095523185,0.15323222630500327,0.9203255754633364,8.444954726888618,0.875,0.0625,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,9.0,0.5
DST,14,False,3.1735666558392683,0.1532719072610026,0.9203257719646447,8.447102288292157,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,9.0,0.9
DST,15,False,3.1752434856828002,0.15327192327997383,0.9203257719646447,8.452132761803783,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.9,9.0,0.99
DST,16,False,9.259042713883195,12.656255826353235,0.9566965017582576,14.16417581353809,0.9375,0.0,3,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,1.0,0.0
DST,17,False,9.253364026287988,12.661208495527784,0.9351709126813856,14.16371267065479,0.875,0.0,3,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,1.0,0.5
DST,18,False,5.26998445420815,6.419257100488377,0.9443571279720284,8.446339134164043,0.875,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,1.0,0.9
DST,19,False,5.094077387752527,0.16218422631404966,0.9302960538004903,14.189751883143042,0.875,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,1.0,0.99
DST,20,False,5.2392681356761255,0.16269600849505178,7.107394437304078,8.447713961229246,0.8125,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,2.0,0.0
DST,21,False,5.239806414660138,0.16446562224771513,7.107557980732923,8.447395640999773,0.8125,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,2.0,0.5
DST,22,False,3.1762207610663715,0.15769103710551513,0.9231648764586401,8.447806369634959,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,2.0,0.9
DST,23,False,3.1758772160926383,0.1588025145407424,0.9206748319553493,8.448154301781823,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,2.0,0.99
DST,24,False,3.1768015223985056,0.16031097909843278,0.9222790752039731,8.44781451289311,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,4.0,0.0
DST,25,False,3.176540230509277,0.1599971988203372,0.9218339974887874,8.447789495218707,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,4.0,0.5
DST,26,False,3.176161914492038,0.15908343607968561,0.9206517506460841,8.448750556750344,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,4.0,0.9
DST,27,False,3.1751592110742464,0.15327192327997383,0.9203257719646447,8.45187993797812,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,4.0,0.99
DST,28,False,3.1742196041805033,0.15325864114580703,0.9203255645088935,8.44907460688681,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,9.0,0.0
DST,29,False,3.174354347863552,0.15326073635855772,0.920325677329973,8.449476629902126,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,9.0,0.5
DST,30,False,3.174777844506156,0.15327191421069136,0.9203257719646447,8.450735847343132,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,9.0,0.9
DST,31,False,3.1752434856828002,0.15327192327997383,0.9203257719646447,8.452132761803783,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.95,9.0,0.99
DST,32,False,5.261860909680537,6.409785772801306,0.9250042863432772,8.450792669897028,0.875,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,1.0,0.0
DST,33,False,5.2679846363917875,6.4102781256668075,0.9427440683609796,8.450931715147576,0.875,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,1.0,0.5
DST,34,False,9.073719294401027,6.407251773720486,0.9483996615621303,19.865506447920463,0.875,0.0,3,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,1.0,0.9
DST,35,False,5.08455924404746,0.15665405474672683,0.9322209945568943,14.164802682838761,0.875,0.0,1,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,1.0,0.99
DST,36,False,3.183233620354804,0.15722328162100666,0.9413883531525185,8.451089226290888,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.98,2.0,0.0
