temperature_C,soc,ocv_discharge_raw_V,ocv_charge_raw_V,ocv_base_raw_V,hysteresis_half_raw_V,ocv_base_monotonic_V,hysteresis_half_monotonic_V,source_file
20.0,0.803,3.310227156,3.378036450028623,3.3441318030143115,0.03390464701431162,3.344235778,0.03393960361831083,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.804,3.310534954,3.37793684,3.344235897,0.03370094299999993,3.3443896769999997,0.03385472299999992,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.805,3.310842752,3.37793684,3.3443897959999997,0.03354704399999986,3.344543576,0.03377125820710991,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.806,3.310534954,3.3780292800598684,3.344282117029934,0.03374716302993419,3.344543576,0.03370082399999985,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.807,3.310842752,3.3782444,3.344543576,0.03370082399999985,3.344543576,0.03370082399999985,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.808,3.310842752,3.37793684,3.3443897959999997,0.03354704399999986,3.344543576,0.03370082399999985,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.809,3.310842752,3.378221360213354,3.344532056106677,0.03368930410667703,3.344543576,0.03370082399999985,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.81,3.3109473584917732,3.378489874905993,3.3447186166988834,0.03377125820710991,3.3447186166988834,0.03370082399999985,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.811,3.311150551,3.3782444,3.3446974755,0.033546924499999964,3.3448202129529965,0.03366966195299659,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.812,3.311150551,3.3784126749042764,3.344781612952138,0.033631061952138275,3.3448202129529965,0.03366966195299659,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8130000000000001,3.311339412616421,3.3784224135788854,3.3448809130976533,0.03354150048123228,3.344914643761207,0.03357523114478611,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8140000000000001,3.31117214685178,3.3782444,3.3447082734258897,0.03353612657410987,3.344914643761207,0.03357523114478611,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8150000000000001,3.311458349,3.3782981570063457,3.3448782530031727,0.03341990400317285,3.3449741119529968,0.03351576295299652,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8160000000000001,3.311458349,3.3782444,3.3448513745,0.033393025499999895,3.3449741119529968,0.03351576295299652,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8170000000000001,3.311730199313437,3.378552198,3.3451411986567186,0.0334109993432814,3.3451411986567186,0.0334109993432814,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8180000000000001,3.311703618071453,3.3783060892611245,3.345004853666289,0.033301235594835665,3.3451411986567186,0.0334109993432814,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8190000000000001,3.311766148,3.3784510452508734,3.345108596625437,0.03334244862543678,3.345159173,0.033393025000000076,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8200000000000001,3.311766148,3.3783830908398027,3.3450746194199015,0.03330847141990145,3.345159173,0.033393025000000076,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
20.0,0.8210000000000001,3.312025650456411,3.378552198,3.3452889242282056,0.03326327377179439,3.3452889242282056,0.03327678675981871,/home/lab/바탕화면/LFP_KF_LOPO_BASELINES_ISOLATED/inputs/ocv/LFP_OCV_20.csv
