feature,condition,temperature_scope,MAE_pct,SD_across_rows,n_rows
G0,all8_train_all8_test,seen,2.708797383799703,1.2520345966780482,36
G0,all8_train_all8_test,unseen,2.1346146606672267,0.6141395388573343,36
G0,core4_train_all8_test,seen,2.7210863267575953,1.2024484415102277,36
G0,core4_train_all8_test,unseen,2.200140972202931,0.6559835795825609,36
G4,all8_train_all8_test,seen,0.8057368437699034,0.3066330931574246,36
G4,all8_train_all8_test,unseen,0.6471682550586625,0.18418221335273566,36
G4,core4_train_all8_test,seen,0.8532195339550871,0.35172787504439634,36
G4,core4_train_all8_test,unseen,0.8230542689922903,0.2833013622424505,36
T6,all8_train_all8_test,seen,0.8056752922891413,0.5286280029467466,36
T6,all8_train_all8_test,unseen,0.4743994374409009,0.1127600732515437,36
T6,core4_train_all8_test,seen,0.8557609468065255,0.5510781746443533,36
T6,core4_train_all8_test,unseen,0.7065242313846379,0.2264164546154672,36
T7,all8_train_all8_test,seen,0.9698600005729693,0.23482539372079536,36
T7,all8_train_all8_test,unseen,0.8427082271504012,0.15754235289884105,36
T7,core4_train_all8_test,seen,1.1412330543813385,0.2916585539353391,36
T7,core4_train_all8_test,unseen,1.1613871393690103,0.27006118862171985,36
