feature,holdout,seed,temperature_C,all8_train_all8_test,core4_train_all8_test,core4_minus_all8_MAE_pct,temperature_scope,gap
G0,DST,0,-10.0,4.075813584933422,3.347290971786951,-0.7285226131464708,seen,seen_temperature
G0,DST,0,0.0,3.729092193818525,3.1116195962340054,-0.6174725975845194,seen,seen_temperature
G0,DST,0,10.0,3.507839270225376,3.0523252087049038,-0.45551406152047225,unseen,0_to_25_gap
G0,DST,0,20.0,3.093425518295671,2.351899655817756,-0.7415258624779151,unseen,0_to_25_gap
G0,DST,0,25.0,2.456794100749817,2.1379854122395887,-0.31880868851022814,seen,seen_temperature
G0,DST,0,30.0,2.3200465158331687,1.9340814748647133,-0.3859650409684554,unseen,25_to_50_gap
G0,DST,0,40.0,1.6430303134095658,1.676778143380838,0.033747829971272125,unseen,25_to_50_gap
G0,DST,0,50.0,1.318153185532532,1.501846189685392,0.18369300415286016,seen,seen_temperature
G0,DST,1,-10.0,3.528436261808292,4.019305530682903,0.490869268874611,seen,seen_temperature
G0,DST,1,0.0,2.8958761214924045,3.462516834417431,0.5666407129250266,seen,seen_temperature
G0,DST,1,10.0,2.56203124608276,3.073272334106819,0.5112410880240588,unseen,0_to_25_gap
G0,DST,1,20.0,2.4157592998512003,2.531937735120817,0.11617843526961691,unseen,0_to_25_gap
G0,DST,1,25.0,1.9465305388568284,2.3441854469892447,0.39765490813241633,seen,seen_temperature
G0,DST,1,30.0,1.8442796380186643,2.209579972029861,0.36530033401119644,unseen,25_to_50_gap
G0,DST,1,40.0,1.4327820094836892,1.997158692401052,0.5643766829173629,unseen,25_to_50_gap
G0,DST,1,50.0,1.2002676673138053,1.7173151638728097,0.5170474965590044,seen,seen_temperature
G0,DST,2,-10.0,3.797757058567168,3.691168915348727,-0.10658814321844101,seen,seen_temperature
G0,DST,2,0.0,3.1116599533408142,2.9542749851222805,-0.15738496821853376,seen,seen_temperature
G0,DST,2,10.0,2.7065242647429546,2.6270631468155328,-0.07946111792742183,unseen,0_to_25_gap
G0,DST,2,20.0,2.479278005973873,2.249487497473276,-0.22979050850059668,unseen,0_to_25_gap
G0,DST,2,25.0,2.1123864331814186,1.9437496543891573,-0.16863677879226135,seen,seen_temperature
G0,DST,2,30.0,1.985773796997153,1.809774021256552,-0.17599977574060088,unseen,25_to_50_gap
