analysis_stage,chemistry,feature,head,aux_config,holdout,seed,temperature_C,mae_pct,rmse_pct,source_file
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,1,25.0,1.9146102727548664,2.7844341592437627,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,1,30.0,1.6063392689142122,2.3589590399450087,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,1,40.0,1.7051933725751711,2.410568880500616,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,1,50.0,1.6556935005161737,2.326403887608396,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,-10.0,2.060864878966745,2.802333806495071,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,0.0,1.487888761174366,2.1206577599144234,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,10.0,1.2759309552762592,1.7851174708005209,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,20.0,1.1392355904922828,1.5145168922355976,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,25.0,1.1260892011610797,1.5935590086456033,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,2,30.0,1.1204634947830134,1.505977621233067,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
