chemistry,feature,fold,seed,temperature_C,mae_torch_pct,mae_onnx_pct
LFP,T7,FUDS,1,20,0.7950129178558709,0.7950126381379085
LFP,T7,FUDS,1,25,0.7981341801885983,0.7981339084352079
LFP,T7,FUDS,1,30,0.9030167554433477,0.9030167429283465
LFP,T7,FUDS,1,40,0.9915874214669542,0.9915871729823231
LFP,T7,FUDS,1,50,1.1647159317477034,1.1647156987754839
LFP,T7,FUDS,2,-10,0.9828112995114302,0.9828110969765226
LFP,T7,FUDS,2,0,0.8178204104516756,0.8178203852063486
LFP,T7,FUDS,2,10,0.8188552281751015,0.8188550997717043
LFP,T7,FUDS,2,20,0.6697737988466554,0.6697736560327261
LFP,T7,FUDS,2,25,0.7664885855015526,0.7664885888081738
LFP,T7,FUDS,2,30,0.733978569037006,0.7339787166989116
LFP,T7,FUDS,2,40,0.7594724086649756,0.7594726407472461
LFP,T7,FUDS,2,50,0.7954312054240994,0.7954313056843909
LFP,T7,US06,0,-10,0.6777359171024564,0.6777358315483731
LFP,T7,US06,0,0,0.867289283039783,0.8672890561998412
LFP,T7,US06,0,10,0.5262026918498407,0.526202554954975
LFP,T7,US06,0,20,0.6164313667271124,0.6164315382786615
LFP,T7,US06,0,25,0.7900971950714144,0.7900971808346362
LFP,T7,US06,0,30,0.5655614644400281,0.5655614949795862
LFP,T7,US06,0,40,0.5698403312026854,0.5698403985414424
LFP,T7,US06,0,50,0.6141566836616158,0.6141566434822973
LFP,T7,US06,1,-10,0.7457246297442583,0.7457245306195274
LFP,T7,US06,1,0,1.0670932497080814,1.0670927700933888
LFP,T7,US06,1,10,0.7191554661000633,0.7191552336778337
LFP,T7,US06,1,20,0.47194496644621875,0.4719451306004912
LFP,T7,US06,1,25,0.7683917922126632,0.7683917668668837
LFP,T7,US06,1,30,0.5388299292433556,0.5388300088605192
LFP,T7,US06,1,40,0.5774593737494602,0.5774593101911246
LFP,T7,US06,1,50,0.5733997691089067,0.5733998523468433
LFP,T7,US06,2,-10,0.7775081057293701,0.7775081092695391
LFP,T7,US06,2,0,0.6672153047063629,0.6672152766202795
LFP,T7,US06,2,10,0.566407738083256,0.5664074595310009
LFP,T7,US06,2,20,0.6956462970513559,0.6956462845956474
LFP,T7,US06,2,25,0.8042460985670947,0.8042460423749626
LFP,T7,US06,2,30,0.7298752463491025,0.7298751940568067
LFP,T7,US06,2,40,0.7340702648520999,0.7340700475828785
LFP,T7,US06,2,50,0.7583129388768453,0.7583128086016218
