model_id,chemistry,fold,method,temperature_C,onchip_status,n_evaluation_points,mcu_mae_pct,python_mae_pct,mae_delta_mcu_minus_python_pct,mean_abs_mcu_python_diff_pct_point,p95_abs_mcu_python_diff_pct_point,max_abs_mcu_python_diff_pct_point
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,-10,PASS,5235,0.0785629492226624,0.0785629372734877,1.1949174746894721e-08,1.2926122449050709e-06,2.775471887872527e-06,2.980441426991831e-06
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,0,PASS,6671,0.1482900165018893,0.1482900255419967,-9.040107412650045e-09,1.0977517878957109e-06,2.733578302605011e-06,2.9791645594912097e-06
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,10,PASS,7031,0.3416996997897517,0.3416997217425856,-2.1952833884064663e-08,1.0421628921664613e-06,2.6985918943900344e-06,2.9801311307586782e-06
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,20,PASS,7254,0.4088753194297579,0.4088753467969652,-2.7367207278139464e-08,1.01985367570871e-06,2.713201061044224e-06,2.9800717005201705e-06
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,25,PASS,7319,0.4260804747082387,0.4260804885816522,-1.3873413529097434e-08,9.945889537890756e-07,2.6710602185620043e-06,2.9799845036038164e-06
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,30,PASS,7391,0.1881221343106639,0.1881221492070169,-1.4896352956705884e-08,1.0235512541024423e-06,2.7171489280775063e-06,2.98148913335794e-06
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,40,PASS,7397,0.4314575716186233,0.4314575503504005,2.1268222794024183e-08,1.0238702776749088e-06,2.692442027107944e-06,2.9792314615306736e-06
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,50,PASS,7415,0.1155000671304731,0.1155000677642291,-6.337559643743161e-10,1.016067263738839e-06,2.6837310040939136e-06,2.9811151436298644e-06
lfp_dst_coulomb_count,LFP,DST,coulomb_count,-10,PASS,5235,0.1705749057456427,0.1698362163200291,0.0007386894256136,0.0008657668429993,0.0016033985149072,0.0016789467919053
lfp_dst_coulomb_count,LFP,DST,coulomb_count,0,PASS,6671,0.1407307519884877,0.1412927916027134,-0.0005620396142257,0.0005718023184237,0.0009060364815988,0.0009214799484014
lfp_dst_coulomb_count,LFP,DST,coulomb_count,10,PASS,7031,0.1402439656448523,0.1408156087113274,-0.0005716430664751,0.0005719799578309,0.0008645265149473,0.0008850852060704
lfp_dst_coulomb_count,LFP,DST,coulomb_count,20,PASS,7254,0.267687051429716,0.2684405260263707,-0.0007534745966547,0.0007545732498159,0.0012201429217989,0.0012598870049729
lfp_dst_coulomb_count,LFP,DST,coulomb_count,25,PASS,7319,0.1587669018463027,0.1595232256080835,-0.0007563237617808,0.0007573223114318,0.0011510352552818,0.0011736214995394
lfp_dst_coulomb_count,LFP,DST,coulomb_count,30,PASS,7391,0.051879450578355,0.0525560978195371,-0.0006766472411821,0.0008158686259336,0.0012286076886969,0.0012517212128138
lfp_dst_coulomb_count,LFP,DST,coulomb_count,40,PASS,7397,0.2731971155544515,0.2742066490078572,-0.0010095334534057,0.0010104939537973,0.0015604566275667,0.0015856029725203
lfp_dst_coulomb_count,LFP,DST,coulomb_count,50,PASS,7415,0.1625822095360135,0.1618921615543214,0.0006900479816921,0.000838672833718,0.0013320635117398,0.0013488260582429
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,-10,PASS,5235,0.1486646005204746,0.1486646233603485,-2.283987393658649e-08,1.2693909108071906e-06,2.760966414383504e-06,2.9789535394009192e-06
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,0,PASS,6671,0.1788576377118463,0.178857625823741,1.1888105305724041e-08,1.0973397724405208e-06,2.7202571251105923e-06,2.978943280940172e-06
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,10,PASS,7031,0.2628451318381898,0.2628451231296591,8.708530674361725e-09,1.0349902742656625e-06,2.7105397204518766e-06,2.9802773693354823e-06
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,20,PASS,7254,0.4402932054314406,0.4402932017269796,3.7044609602077117e-09,1.0245700620854615e-06,2.707405453716838e-06,2.9811937363177776e-06
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,25,PASS,7319,0.3924627357326137,0.3924627681405594,-3.240794571590655e-08,1.0197244848736264e-06,2.6995024049458736e-06,2.9809659185531245e-06
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,30,PASS,7391,0.2174914591026574,0.2174914559429837,3.159673689356879e-09,1.0212788680504858e-06,2.7070159225317525e-06,2.9802776913001594e-06
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,40,PASS,7397,0.4218024002788608,0.4218024246751832,-2.4396322462205692e-08,1.0322266898179812e-06,2.69254571305666e-06,2.97933229198577e-06
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,50,PASS,7415,0.1122173551466902,0.1122173640953475,-8.948657370666524e-09,1.0115220356415368e-06,2.696847456462592e-06,2.978892488236795e-06
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,-10,PASS,5235,6.6968515517857545,6.589442830866131,0.1074087209196239,0.1156236984888307,1.544476030733804,2.561373743384082
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,0,PASS,6671,4.539103164091307,4.624408483693109,-0.0853053196018027,0.197801006682975,0.8876969152047193,1.205192756125914
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,10,PASS,7031,5.606120740536055,5.520636387841763,0.0854843526942925,0.1027987147452292,0.2349240052694719,3.919520443416249
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,20,PASS,7254,2.2880205611588416,2.354716772489524,-0.0666962113306826,0.0690071396909665,0.101582258487959,0.4464563958919768
