model,precision,clock_mhz,n_reps,cycles_median,cycles_p90,cycles_max,us_median,us_p90,estimates_per_second,includes_preprocessing,network_cycles_median,preprocessing_window_cycles_median,preprocessing_window_us_median,warmup_outputs_discarded,latency_temperature_C,chemistry,feature,fold,seed,status
lfp_t6_fuds_s1,fp32,250.0,1024,58429506.5,58440254.3,58457690,233718.026,233761.0172,4.278660132102947,True,58406435.5,23070.0,92.28,10,-10,LFP,T6,FUDS,1,PASS
lfp_t6_fuds_s2,fp32,250.0,1024,58375647.0,58386488.5,58430102,233502.588,233545.954,4.28260777991891,True,58352572.5,23070.0,92.28,10,-10,LFP,T6,FUDS,2,PASS
lfp_t6_us06_s0,fp32,250.0,1024,58360183.0,58381711.7,58432203,233440.732,233526.8468,4.283742564686611,True,58337108.5,23070.0,92.28,10,-10,LFP,T6,US06,0,PASS
lfp_t6_us06_s1,fp32,250.0,1024,58397202.5,58412950.8,58471789,233588.81,233651.8032,4.281026989263741,True,58374134.5,23070.0,92.28,10,-10,LFP,T6,US06,1,PASS
lfp_t6_us06_s2,fp32,250.0,1024,58359745.0,58400697.0,58456783,233438.98,233602.788,4.283774714916935,True,58336678.0,23070.0,92.28,10,-10,LFP,T6,US06,2,PASS
lfp_t7_dst_s0,fp32,250.0,1024,57808453.0,57918813.6,57952373,231233.812,231675.2544,4.324627057568899,True,57780955.5,27493.0,109.972,10,-10,LFP,T7,DST,0,PASS
lfp_t7_dst_s1,fp32,250.0,1024,57784469.0,57866711.8,57898291,231137.876,231466.8472,4.326422035651136,True,57756976.0,27493.0,109.972,10,-10,LFP,T7,DST,1,PASS
lfp_t7_dst_s2,fp32,250.0,1024,57842878.0,57906828.1,57923200,231371.512,231627.3124,4.322053269894351,True,57815385.0,27493.0,109.972,10,-10,LFP,T7,DST,2,PASS
lfp_t7_fuds_s0,fp32,250.0,1024,57776362.5,57894927.1,57921273,231105.45,231579.7084,4.327029068332227,True,57748863.5,27499.0,109.996,10,-10,LFP,T7,FUDS,0,PASS
lfp_t7_fuds_s1,fp32,250.0,1024,57742717.5,57886324.6,57920772,230970.87,231545.2984,4.32955030216581,True,57715220.5,27499.0,109.996,10,-10,LFP,T7,FUDS,1,PASS
lfp_t7_fuds_s2,fp32,250.0,1024,57806622.0,57918889.1,57940431,231226.488,231675.5564,4.324764038279213,True,57779122.0,27499.0,109.996,10,-10,LFP,T7,FUDS,2,PASS
lfp_t7_us06_s0,fp32,250.0,1024,57808787.0,57912489.9,57935501,231235.148,231649.9596,4.3246020713079485,True,57781290.0,27499.0,109.996,10,-10,LFP,T7,US06,0,PASS
lfp_t7_us06_s1,fp32,250.0,1024,57778493.0,57884772.8,57922226,231113.972,231539.0912,4.32686951527102,True,57750992.0,27499.0,109.996,10,-10,LFP,T7,US06,1,PASS
lfp_t7_us06_s2,fp32,250.0,1024,57827647.5,57922305.9,57942346,231310.59,231689.2236,4.323191601387554,True,57800151.0,27499.0,109.996,10,-10,LFP,T7,US06,2,PASS
