model,precision,flash_model_bytes,flash_total_bytes,ram_arena_bytes,ram_window_buffer_bytes,ram_other_bytes,ram_total_bytes,evidence,ram_preprocessing_state_bytes,flash_increment_vs_base_bytes,ram_increment_vs_base_bytes,stack_highwater_bytes,chemistry,feature,fold,seed,status
lfp_t6_us06_s2,fp32,475196,531352,56584,1800,20964,79348,firmware/h563_raw_vit/Build/lfp_t6_us06_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t6_us06_s2/size.txt;stedgeai/models/lfp_t6_us06_s2/output/cema_generate_report.txt,72,511148,66868,900,LFP,T6,US06,2,PASS
lfp_t7_dst_s0,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_dst_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_dst_s0/size.txt;stedgeai/models/lfp_t7_dst_s0/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,DST,0,PASS
lfp_t7_dst_s1,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_dst_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_dst_s1/size.txt;stedgeai/models/lfp_t7_dst_s1/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,DST,1,PASS
lfp_t7_dst_s2,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_dst_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_dst_s2/size.txt;stedgeai/models/lfp_t7_dst_s2/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,DST,2,PASS
lfp_t7_fuds_s0,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_fuds_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_fuds_s0/size.txt;stedgeai/models/lfp_t7_fuds_s0/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,FUDS,0,PASS
lfp_t7_fuds_s1,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_fuds_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_fuds_s1/size.txt;stedgeai/models/lfp_t7_fuds_s1/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,FUDS,1,PASS
lfp_t7_fuds_s2,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_fuds_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_fuds_s2/size.txt;stedgeai/models/lfp_t7_fuds_s2/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,FUDS,2,PASS
lfp_t7_us06_s0,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_us06_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_us06_s0/size.txt;stedgeai/models/lfp_t7_us06_s0/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,US06,0,PASS
lfp_t7_us06_s1,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_us06_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_us06_s1/size.txt;stedgeai/models/lfp_t7_us06_s1/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,US06,1,PASS
lfp_t7_us06_s2,fp32,473124,529304,56984,2200,20964,80148,firmware/h563_raw_vit/Build/lfp_t7_us06_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/lfp_t7_us06_s2/size.txt;stedgeai/models/lfp_t7_us06_s2/output/cema_generate_report.txt,72,509100,67668,908,LFP,T7,US06,2,PASS
