model,source_weights_sha256,path_step_index,step_tool,step_version,artifact_file,artifact_sha256,rewrites_applied
lfp_g4_dst_s2,0fe85b6f4f6248ce6cc10fabb8717906716109ef3fb9cd4bfcfd14fd7cf37c6e,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_dst_s2/cema_data.c,fe367940271a08ad95be3e81ea9a43432c05b06e423bb80317655cf642721e23,none
lfp_g4_dst_s2,0fe85b6f4f6248ce6cc10fabb8717906716109ef3fb9cd4bfcfd14fd7cf37c6e,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_dst_s2/cema_h563_bench.elf,f5a233480bf012f545bdeb3f5c429bb506de9717a4ee0eb463d0c930242a9c6b,none
lfp_g4_fuds_s0,9c398b9d59388464edbe24ab47f3563d930863aa5c6820f25371b2b973d5a7a3,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_fuds_s0/source_weights.pt,9c398b9d59388464edbe24ab47f3563d930863aa5c6820f25371b2b973d5a7a3,none
lfp_g4_fuds_s0,9c398b9d59388464edbe24ab47f3563d930863aa5c6820f25371b2b973d5a7a3,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_fuds_s0/model_static.onnx,a8c005f8c4a3b20324a3c2a353df6d37c941154190a4ae999ec0d852deeb58a4,none
lfp_g4_fuds_s0,9c398b9d59388464edbe24ab47f3563d930863aa5c6820f25371b2b973d5a7a3,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_fuds_s0/cema_data.c,c1091567236d80a5d70b1c4f53209d178d00ca8c3e7c2ee84325ad22f5edfd5f,none
lfp_g4_fuds_s0,9c398b9d59388464edbe24ab47f3563d930863aa5c6820f25371b2b973d5a7a3,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_fuds_s0/cema_h563_bench.elf,acbb79efc749a4046e4f323b4500f3a314f33cd3d530ee6a1fdb55fb6bf54fbe,none
lfp_g4_fuds_s1,2515f8a02f7c59f16f16c082119ddccd5e12e7dc39ba25f92056b8114d63fa0b,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_fuds_s1/source_weights.pt,2515f8a02f7c59f16f16c082119ddccd5e12e7dc39ba25f92056b8114d63fa0b,none
lfp_g4_fuds_s1,2515f8a02f7c59f16f16c082119ddccd5e12e7dc39ba25f92056b8114d63fa0b,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_fuds_s1/model_static.onnx,e08f8aae620656648c7392ccef087694a3d1b71793f4eb89f2f1867688bb90a3,none
lfp_g4_fuds_s1,2515f8a02f7c59f16f16c082119ddccd5e12e7dc39ba25f92056b8114d63fa0b,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_fuds_s1/cema_data.c,40ebdc36a29899a643375e025f57a2e6c45527f1d4cf427b6f0685f84f540f4a,none
lfp_g4_fuds_s1,2515f8a02f7c59f16f16c082119ddccd5e12e7dc39ba25f92056b8114d63fa0b,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_fuds_s1/cema_h563_bench.elf,a9adbb284dc0ff2c93447b8007aa8fce09ca49e6e316e9478303228f93acd9c8,none
lfp_g4_fuds_s2,abfab6bf079d9624ba9d5b2e49393ac53c72b3dea91450db5de5e91a393a2690,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_fuds_s2/source_weights.pt,abfab6bf079d9624ba9d5b2e49393ac53c72b3dea91450db5de5e91a393a2690,none
lfp_g4_fuds_s2,abfab6bf079d9624ba9d5b2e49393ac53c72b3dea91450db5de5e91a393a2690,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_fuds_s2/model_static.onnx,ebf0b0d44b2c3e3eb11e0c691d163f82a63ce88cc2f8c96961dd3c507ed004f4,none
lfp_g4_fuds_s2,abfab6bf079d9624ba9d5b2e49393ac53c72b3dea91450db5de5e91a393a2690,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_fuds_s2/cema_data.c,14dc35611a2d950efd5869a3840bee1dc8e246758ac1683b838bfbf6d96ad03e,none
lfp_g4_fuds_s2,abfab6bf079d9624ba9d5b2e49393ac53c72b3dea91450db5de5e91a393a2690,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_fuds_s2/cema_h563_bench.elf,49feaf02d627e340f18e984cc5541c19a342e05a4317fcb679fa203cca79a8a2,none
lfp_g4_us06_s0,b6d22e70940b94207d6b0faf8b416607249614afdac9d79327ebbb84c11b183f,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_us06_s0/source_weights.pt,b6d22e70940b94207d6b0faf8b416607249614afdac9d79327ebbb84c11b183f,none
lfp_g4_us06_s0,b6d22e70940b94207d6b0faf8b416607249614afdac9d79327ebbb84c11b183f,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_us06_s0/model_static.onnx,1cdb7809f8e4ee0c1e2b0215b669df4cde62ede84d974e34872e1003425b82c8,none
lfp_g4_us06_s0,b6d22e70940b94207d6b0faf8b416607249614afdac9d79327ebbb84c11b183f,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_us06_s0/cema_data.c,33a2b11b976a3ebff62791b5cb7c5fd11d93fb411a9974625cb2bddba2409f36,none
lfp_g4_us06_s0,b6d22e70940b94207d6b0faf8b416607249614afdac9d79327ebbb84c11b183f,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_us06_s0/cema_h563_bench.elf,65dc0842e8ef82e62bd28d45e7aa9f352736d9d1809c45a5d3a0b567f6fc12fe,none
lfp_g4_us06_s1,ebff084fae9c6a79322ba1d4c10929905d072e54c12dfb78b98b27902b8a3c9a,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_us06_s1/source_weights.pt,ebff084fae9c6a79322ba1d4c10929905d072e54c12dfb78b98b27902b8a3c9a,none
lfp_g4_us06_s1,ebff084fae9c6a79322ba1d4c10929905d072e54c12dfb78b98b27902b8a3c9a,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_us06_s1/model_static.onnx,49af9ffc8f275465009f741b5dede1bfcbe9e1a2257207aac5b6ef69174855f2,none
lfp_g4_us06_s1,ebff084fae9c6a79322ba1d4c10929905d072e54c12dfb78b98b27902b8a3c9a,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_us06_s1/cema_data.c,2a66310cd02e5a9a2053f43daf582c40cf921a40014b0ca6161055030ffc7489,none
lfp_g4_us06_s1,ebff084fae9c6a79322ba1d4c10929905d072e54c12dfb78b98b27902b8a3c9a,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_us06_s1/cema_h563_bench.elf,86af56f9d933d446baa700bb3c1d61e81adcf9e512ececa793d92b79e939474a,none
lfp_g4_us06_s2,083951b3e1cc63f3478c434cf450047a6c3648716f6cbca610dd83283a5e1027,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_us06_s2/source_weights.pt,083951b3e1cc63f3478c434cf450047a6c3648716f6cbca610dd83283a5e1027,none
lfp_g4_us06_s2,083951b3e1cc63f3478c434cf450047a6c3648716f6cbca610dd83283a5e1027,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_us06_s2/model_static.onnx,ead23653c558325c31b1cfbccbe320d44720c8a393ecb65fb3d7061ff83de1ef,none
lfp_g4_us06_s2,083951b3e1cc63f3478c434cf450047a6c3648716f6cbca610dd83283a5e1027,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_us06_s2/cema_data.c,5353a5c884e45511c293b86668691e2b41bd67335c0905b83dfa800126abc29e,none
lfp_g4_us06_s2,083951b3e1cc63f3478c434cf450047a6c3648716f6cbca610dd83283a5e1027,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_us06_s2/cema_h563_bench.elf,ea83b1fcfa8858b5ada1877523dfb81caae86227539dd7500ddc67ac2388a057,none
lfp_t6_dst_s0,3940bd6cb9fdd545677d3ed27ce4cbaf805270c7ea91c7aac11ddd242a4c5dab,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_dst_s0/source_weights.pt,3940bd6cb9fdd545677d3ed27ce4cbaf805270c7ea91c7aac11ddd242a4c5dab,none
lfp_t6_dst_s0,3940bd6cb9fdd545677d3ed27ce4cbaf805270c7ea91c7aac11ddd242a4c5dab,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_dst_s0/model_static.onnx,b54691cf5b0169e3242843cc986d641dfbc713a834e4d052fccb45078cb724fa,none
lfp_t6_dst_s0,3940bd6cb9fdd545677d3ed27ce4cbaf805270c7ea91c7aac11ddd242a4c5dab,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_dst_s0/cema_data.c,17068aed95ef8e7601afea9ccea6bbc1fa2a028d005a5b4bff115b48d60264fd,none
lfp_t6_dst_s0,3940bd6cb9fdd545677d3ed27ce4cbaf805270c7ea91c7aac11ddd242a4c5dab,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_dst_s0/cema_h563_bench.elf,d769ba8800ed9640f479c16624edf5181c32f4807e6a994ef6c920bea7057caf,none
lfp_t6_dst_s1,6b3f7cc5b959f57f795bbe0f432a9ca673207bd4cb53aac64b5fbcc394832ddf,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_dst_s1/source_weights.pt,6b3f7cc5b959f57f795bbe0f432a9ca673207bd4cb53aac64b5fbcc394832ddf,none
lfp_t6_dst_s1,6b3f7cc5b959f57f795bbe0f432a9ca673207bd4cb53aac64b5fbcc394832ddf,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_dst_s1/model_static.onnx,b8e940e8e319391ededb50eb510d6b6689dc6de9e90732d08b9e03191606aced,none
lfp_t6_dst_s1,6b3f7cc5b959f57f795bbe0f432a9ca673207bd4cb53aac64b5fbcc394832ddf,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_dst_s1/cema_data.c,be41772c879cb9462a418e9148eae3043ae860539a78a355eb243639884062fa,none
lfp_t6_dst_s1,6b3f7cc5b959f57f795bbe0f432a9ca673207bd4cb53aac64b5fbcc394832ddf,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_dst_s1/cema_h563_bench.elf,12b6a09c3254ab461641be7dbe0efcd5626bf7ee5a45d48b7e31cd9ac53952b2,none
lfp_t6_dst_s2,cb4d5ebbf9dfd583d3f476725da7ec2cb340848a9bcc8bfce3c6abbff606235f,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_dst_s2/source_weights.pt,cb4d5ebbf9dfd583d3f476725da7ec2cb340848a9bcc8bfce3c6abbff606235f,none
lfp_t6_dst_s2,cb4d5ebbf9dfd583d3f476725da7ec2cb340848a9bcc8bfce3c6abbff606235f,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_dst_s2/model_static.onnx,a99418f64ad06a010deafa9a1e5b2ed56f4de363c5f5ab9bc1e23d2fdf4f9cd7,none
lfp_t6_dst_s2,cb4d5ebbf9dfd583d3f476725da7ec2cb340848a9bcc8bfce3c6abbff606235f,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_dst_s2/cema_data.c,214fe653700407b5d95cd561a5cbfa665baa714ad0258a68a3dbfefbc629e312,none
lfp_t6_dst_s2,cb4d5ebbf9dfd583d3f476725da7ec2cb340848a9bcc8bfce3c6abbff606235f,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_dst_s2/cema_h563_bench.elf,2ad1f0bf39c4d7089793df6b14fc181e7ab4a810c34d82d113ca4fa8d6bd3c0c,none
lfp_t6_fuds_s0,a696b8ec8f4319123d2f25c4f31f09aa095b71e4c8df4735e1e596ccd5c7e699,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_fuds_s0/source_weights.pt,a696b8ec8f4319123d2f25c4f31f09aa095b71e4c8df4735e1e596ccd5c7e699,none
lfp_t6_fuds_s0,a696b8ec8f4319123d2f25c4f31f09aa095b71e4c8df4735e1e596ccd5c7e699,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_fuds_s0/model_static.onnx,71e178a259c75f410b1ad85a92d28cd4d697800428537fbf177ac4bee0d5ea94,none
lfp_t6_fuds_s0,a696b8ec8f4319123d2f25c4f31f09aa095b71e4c8df4735e1e596ccd5c7e699,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_fuds_s0/cema_data.c,a92a04be83223eff06cd0ad2d672a7011dc26de7439984a10511213e04650625,none
lfp_t6_fuds_s0,a696b8ec8f4319123d2f25c4f31f09aa095b71e4c8df4735e1e596ccd5c7e699,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_fuds_s0/cema_h563_bench.elf,7b84d80747989e706e0ddf266b5687dd4f880d20ebd08202f30498227e7d4bf1,none
lfp_t6_fuds_s1,23ea74f5b770c31c8a4c53da1e80781b2bf6cc34a27e34ed62ab10a7ac793540,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_fuds_s1/source_weights.pt,23ea74f5b770c31c8a4c53da1e80781b2bf6cc34a27e34ed62ab10a7ac793540,none
lfp_t6_fuds_s1,23ea74f5b770c31c8a4c53da1e80781b2bf6cc34a27e34ed62ab10a7ac793540,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_fuds_s1/model_static.onnx,c8e91ec2f56422f8b1d41b59c8013ebee1accf5bbeab7abe2c0adcdb100812d2,none
lfp_t6_fuds_s1,23ea74f5b770c31c8a4c53da1e80781b2bf6cc34a27e34ed62ab10a7ac793540,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_fuds_s1/cema_data.c,49ab58979bd834b04fdfce93b5232fa8a58ec79217798972fb6416816c8c9536,none
lfp_t6_fuds_s1,23ea74f5b770c31c8a4c53da1e80781b2bf6cc34a27e34ed62ab10a7ac793540,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_fuds_s1/cema_h563_bench.elf,6224f64e195fbcc162133cd37c60794003a76de2caf0d9d8ef10a73da985bc7a,none
lfp_t6_fuds_s2,e0620f7aad5cb270abf93a3e9f6975921b97eacff8a11656151fba63c13eea82,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_fuds_s2/source_weights.pt,e0620f7aad5cb270abf93a3e9f6975921b97eacff8a11656151fba63c13eea82,none
lfp_t6_fuds_s2,e0620f7aad5cb270abf93a3e9f6975921b97eacff8a11656151fba63c13eea82,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_fuds_s2/model_static.onnx,4e4a04eef66a972649f2a3d916e23944777503596b871c58ea7cb62341d1ab92,none
lfp_t6_fuds_s2,e0620f7aad5cb270abf93a3e9f6975921b97eacff8a11656151fba63c13eea82,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_fuds_s2/cema_data.c,2853331b72691727a01d7908148ed74b8a0af2617bb2cca262c942310308ac2c,none
lfp_t6_fuds_s2,e0620f7aad5cb270abf93a3e9f6975921b97eacff8a11656151fba63c13eea82,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_fuds_s2/cema_h563_bench.elf,a6df78198d9a8aef778fa0d9c0cb2dbec01cc41de54bfaf1b49af6bb02fb8d11,none
lfp_t6_us06_s0,041f4761126dbea5e5a862e1268e8574179deb59405b9ae128b826c4d7e6601b,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_us06_s0/source_weights.pt,041f4761126dbea5e5a862e1268e8574179deb59405b9ae128b826c4d7e6601b,none
lfp_t6_us06_s0,041f4761126dbea5e5a862e1268e8574179deb59405b9ae128b826c4d7e6601b,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_us06_s0/model_static.onnx,426c3d60adca0898833b230bad5d7447ce31e965e953f672a678aaf000b55840,none
lfp_t6_us06_s0,041f4761126dbea5e5a862e1268e8574179deb59405b9ae128b826c4d7e6601b,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_us06_s0/cema_data.c,c8e61e5b1b90e2694b32fa5fc253371eb4fc0dc4b0742343c098fa091fe8026c,none
lfp_t6_us06_s0,041f4761126dbea5e5a862e1268e8574179deb59405b9ae128b826c4d7e6601b,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_us06_s0/cema_h563_bench.elf,5bb4290620d5e20040f606f4f9bcf18958c006b56ac9d37767ef75fec00e5544,none
lfp_t6_us06_s1,548c8c9a8f0a2134a023e64e38476cadbda32ac7907e1df1063621d93033c2ab,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_us06_s1/source_weights.pt,548c8c9a8f0a2134a023e64e38476cadbda32ac7907e1df1063621d93033c2ab,none
lfp_t6_us06_s1,548c8c9a8f0a2134a023e64e38476cadbda32ac7907e1df1063621d93033c2ab,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_us06_s1/model_static.onnx,12851ce9ab4f7552f8dce75cba33bb46260111a3ad5f0bf7158ba2ec5f64fcb5,none
lfp_t6_us06_s1,548c8c9a8f0a2134a023e64e38476cadbda32ac7907e1df1063621d93033c2ab,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_us06_s1/cema_data.c,6619a2fc016eba82e42362a73c6b9237a438bb6d22fc5b811902578d8a8551cf,none
lfp_t6_us06_s1,548c8c9a8f0a2134a023e64e38476cadbda32ac7907e1df1063621d93033c2ab,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_us06_s1/cema_h563_bench.elf,4e7c8640256c2c9b0a8e17c1853f9e16c5fcd18c361ba58c46d7217229069307,none
lfp_t6_us06_s2,f83ad2e686b0b6935069cca7bf948c46db8bdb3d4fdf4453a3541124fcd3c31f,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t6_us06_s2/source_weights.pt,f83ad2e686b0b6935069cca7bf948c46db8bdb3d4fdf4453a3541124fcd3c31f,none
lfp_t6_us06_s2,f83ad2e686b0b6935069cca7bf948c46db8bdb3d4fdf4453a3541124fcd3c31f,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t6_us06_s2/model_static.onnx,241bd8b5612c2593c7ab60e631043be107e31bc88749f24ebefd2a0bf5498145,none
lfp_t6_us06_s2,f83ad2e686b0b6935069cca7bf948c46db8bdb3d4fdf4453a3541124fcd3c31f,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t6_us06_s2/cema_data.c,8745746c46fda5ae17fd642397e2d62065cd819fba2ade239a3437b9f1699451,none
lfp_t6_us06_s2,f83ad2e686b0b6935069cca7bf948c46db8bdb3d4fdf4453a3541124fcd3c31f,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t6_us06_s2/cema_h563_bench.elf,de523e51a5246f039ec7d41d8065cdb3cab8fdc2b58a9cbd2dea770460aac830,none
lfp_t7_dst_s0,b72a4e0a5267e1320eb8031c3d603b165bb0684299b617d06c7772b703d4fbf0,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_dst_s0/source_weights.pt,b72a4e0a5267e1320eb8031c3d603b165bb0684299b617d06c7772b703d4fbf0,none
lfp_t7_dst_s0,b72a4e0a5267e1320eb8031c3d603b165bb0684299b617d06c7772b703d4fbf0,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_dst_s0/model_static.onnx,0b8295f75fbeb7faa9d239079868b0876337467c5144e77c7e0e0ea2d27154dc,none
lfp_t7_dst_s0,b72a4e0a5267e1320eb8031c3d603b165bb0684299b617d06c7772b703d4fbf0,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_dst_s0/cema_data.c,1f3d71e6ba99358b0a9bd0fb480380adf0521edb3ec70f1474f4be9fd61ee35b,none
lfp_t7_dst_s0,b72a4e0a5267e1320eb8031c3d603b165bb0684299b617d06c7772b703d4fbf0,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_dst_s0/cema_h563_bench.elf,58c17ba97e71bcd251fa195764b366e442e9bab28ad3a049e0087c6e7e3dfbff,none
lfp_t7_dst_s1,1fb5e2603f25836a52b57fe7680a9acf965602fc60c4aa7cf2374458650c7e13,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_dst_s1/source_weights.pt,1fb5e2603f25836a52b57fe7680a9acf965602fc60c4aa7cf2374458650c7e13,none
lfp_t7_dst_s1,1fb5e2603f25836a52b57fe7680a9acf965602fc60c4aa7cf2374458650c7e13,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_dst_s1/model_static.onnx,8fd1feefd7c1b5ac042836101defec0fec9990657bf2a719dbb23d72b8028578,none
lfp_t7_dst_s1,1fb5e2603f25836a52b57fe7680a9acf965602fc60c4aa7cf2374458650c7e13,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_dst_s1/cema_data.c,f9f849e3bd7c3b9ee6301a684bf347b6f45e5853855deb9c3d626ea2ec1848cc,none
lfp_t7_dst_s1,1fb5e2603f25836a52b57fe7680a9acf965602fc60c4aa7cf2374458650c7e13,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_dst_s1/cema_h563_bench.elf,ddbe04140084ccd3927bb158b39dbb6af56bc460aa292ca7be7b74d46c9e7445,none
lfp_t7_dst_s2,526cc15309a92869c3ee9f38065bacfb52c68510ed6dd98a78cea90096cf07e6,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_dst_s2/source_weights.pt,526cc15309a92869c3ee9f38065bacfb52c68510ed6dd98a78cea90096cf07e6,none
lfp_t7_dst_s2,526cc15309a92869c3ee9f38065bacfb52c68510ed6dd98a78cea90096cf07e6,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_dst_s2/model_static.onnx,95b4678342be1eb5d002f3e94b034c42544a74e976f72c2012b9a581cffb6419,none
lfp_t7_dst_s2,526cc15309a92869c3ee9f38065bacfb52c68510ed6dd98a78cea90096cf07e6,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_dst_s2/cema_data.c,d615db0a10f3665009ce29e0b6b125032be9cc243b675d02d32a19df429b752e,none
lfp_t7_dst_s2,526cc15309a92869c3ee9f38065bacfb52c68510ed6dd98a78cea90096cf07e6,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_dst_s2/cema_h563_bench.elf,37dd3f645ba2c59293bf302632f24ea23265ceddaa69fc1ae311964014ba6a4d,none
lfp_t7_fuds_s0,f32cbbe2624dbf334d787ee04416050b8e010dcf676240c16699f6eca8757911,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_fuds_s0/source_weights.pt,f32cbbe2624dbf334d787ee04416050b8e010dcf676240c16699f6eca8757911,none
lfp_t7_fuds_s0,f32cbbe2624dbf334d787ee04416050b8e010dcf676240c16699f6eca8757911,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_fuds_s0/model_static.onnx,9c1a07919c1b32bc560f6418c6d3e0fa520220458996b03ae766a444d28b266a,none
lfp_t7_fuds_s0,f32cbbe2624dbf334d787ee04416050b8e010dcf676240c16699f6eca8757911,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_fuds_s0/cema_data.c,7d8c7aace182768b6c18f378073fab88756528c46c7dfc33ee1a7d30f9204d40,none
lfp_t7_fuds_s0,f32cbbe2624dbf334d787ee04416050b8e010dcf676240c16699f6eca8757911,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_fuds_s0/cema_h563_bench.elf,5b99fc4aef87531b92fea23b95a0499704290f8a83590f50dabc11a9c7769349,none
lfp_t7_fuds_s1,501839298706248228d038eb077146614804e2e621afc44c1bcbea85b9f10bf5,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_fuds_s1/source_weights.pt,501839298706248228d038eb077146614804e2e621afc44c1bcbea85b9f10bf5,none
lfp_t7_fuds_s1,501839298706248228d038eb077146614804e2e621afc44c1bcbea85b9f10bf5,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_t7_fuds_s1/model_static.onnx,0285c3f8f1be1222acb74f6b1266c24f6f7d6e72d832cd2921d17c7c688fef98,none
lfp_t7_fuds_s1,501839298706248228d038eb077146614804e2e621afc44c1bcbea85b9f10bf5,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_t7_fuds_s1/cema_data.c,cecdb0df52939c35c0dd310922df98e8de3b8f552e9b2ba0c5fd5b0575259c26,none
lfp_t7_fuds_s1,501839298706248228d038eb077146614804e2e621afc44c1bcbea85b9f10bf5,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_t7_fuds_s1/cema_h563_bench.elf,933792692e294feded61ac1043d6a553c7b822eafd5b82847c4f19e4aa2e4811,none
lfp_t7_fuds_s2,23f0023c55d4c1259a6d46a4484a2cfb8c7c2158eff639c995a72d802b1ec917,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_t7_fuds_s2/source_weights.pt,23f0023c55d4c1259a6d46a4484a2cfb8c7c2158eff639c995a72d802b1ec917,none
