model,source_weights_sha256,path_step_index,step_tool,step_version,artifact_file,artifact_sha256,rewrites_applied
nmc_g4_fuds_s1,42436d14bb1b22efbd85d8e57286ec1f28d467d069dd05be9381a7a17a5b2656,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_fuds_s1/source_weights.pt,42436d14bb1b22efbd85d8e57286ec1f28d467d069dd05be9381a7a17a5b2656,none
nmc_g4_fuds_s1,42436d14bb1b22efbd85d8e57286ec1f28d467d069dd05be9381a7a17a5b2656,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_fuds_s1/model_static.onnx,b3c53e94fe2cb5a237729542ae300e750fcb83595e4d95c2ebb4ea57e5d18409,none
nmc_g4_fuds_s1,42436d14bb1b22efbd85d8e57286ec1f28d467d069dd05be9381a7a17a5b2656,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_g4_fuds_s1/cema_data.c,ba54dfa211c0c4c772f7432776b25359d6e05936dc9b8ed45ea5e7a98ac2a123,none
nmc_g4_fuds_s1,42436d14bb1b22efbd85d8e57286ec1f28d467d069dd05be9381a7a17a5b2656,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_g4_fuds_s1/cema_h563_bench.elf,ecb983f2c8f53a04879739c748640adc18dcce79bf006d6a5018ecc2db53ad85,none
nmc_g4_fuds_s2,a9aa5c83a819e4bb221b74926d503b79fb2c83e061f63805368f58bec5e0ff7f,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_fuds_s2/source_weights.pt,a9aa5c83a819e4bb221b74926d503b79fb2c83e061f63805368f58bec5e0ff7f,none
nmc_g4_fuds_s2,a9aa5c83a819e4bb221b74926d503b79fb2c83e061f63805368f58bec5e0ff7f,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_fuds_s2/model_static.onnx,440f686ac8ae3eb734245b1481b3b6b34d423afdd05ca531d88d90e88b8615aa,none
nmc_g4_fuds_s2,a9aa5c83a819e4bb221b74926d503b79fb2c83e061f63805368f58bec5e0ff7f,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_g4_fuds_s2/cema_data.c,0a0bfa7647039c99876b4819f059939641dfa206a7e9b7045089bf89ae1ac629,none
nmc_g4_fuds_s2,a9aa5c83a819e4bb221b74926d503b79fb2c83e061f63805368f58bec5e0ff7f,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_g4_fuds_s2/cema_h563_bench.elf,5b70c5d1328da2216518c1276813a05aebfab8d0d07f8780e432206da82b19bf,none
nmc_g4_us06_s0,7a53b3786fbf4e8e35fc9b2ae1c8a20457069946875b2552274d5ad3696a0649,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_us06_s0/source_weights.pt,7a53b3786fbf4e8e35fc9b2ae1c8a20457069946875b2552274d5ad3696a0649,none
nmc_g4_us06_s0,7a53b3786fbf4e8e35fc9b2ae1c8a20457069946875b2552274d5ad3696a0649,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_us06_s0/model_static.onnx,6600495f62448c4ebfe0d4c3202b9a1c5f9b5748a2105377ca8b6f369a729d8d,none
nmc_g4_us06_s0,7a53b3786fbf4e8e35fc9b2ae1c8a20457069946875b2552274d5ad3696a0649,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_g4_us06_s0/cema_data.c,4cffdd9e4374b511421e3a3e9e494ea0f1b2d9be00f01696399d3f8b2a9ea8eb,none
nmc_g4_us06_s0,7a53b3786fbf4e8e35fc9b2ae1c8a20457069946875b2552274d5ad3696a0649,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_g4_us06_s0/cema_h563_bench.elf,fedd262dd123b67008b3576020d0c7247bf2e1a6b8c84812a021b02a4df787ec,none
nmc_g4_us06_s1,e85610c3c7c1e13046209d69ae5ba0b1820bcaaf67849237c3b101411738167c,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_us06_s1/source_weights.pt,e85610c3c7c1e13046209d69ae5ba0b1820bcaaf67849237c3b101411738167c,none
nmc_g4_us06_s1,e85610c3c7c1e13046209d69ae5ba0b1820bcaaf67849237c3b101411738167c,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_us06_s1/model_static.onnx,2dbe95adad91be6a21379a3da939f21e7a987be3a5f64418ff04edbecab78ea8,none
nmc_g4_us06_s1,e85610c3c7c1e13046209d69ae5ba0b1820bcaaf67849237c3b101411738167c,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_g4_us06_s1/cema_data.c,90b8020b3f86682dcaa93fd40b33e3118dca20a6f4813296913f1f1f8ad78d25,none
nmc_g4_us06_s1,e85610c3c7c1e13046209d69ae5ba0b1820bcaaf67849237c3b101411738167c,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_g4_us06_s1/cema_h563_bench.elf,a1d52cad589fc9ce399c5c40d11ebd18ee860f1f85240eb9391162aa49eff605,none
nmc_g4_us06_s2,909ffec18fb6fa91989ce1d588bd072d578add406044d1424028b550f29d3381,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_us06_s2/source_weights.pt,909ffec18fb6fa91989ce1d588bd072d578add406044d1424028b550f29d3381,none
nmc_g4_us06_s2,909ffec18fb6fa91989ce1d588bd072d578add406044d1424028b550f29d3381,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_us06_s2/model_static.onnx,13346f6464e911835a9cf8c9671e099f0691dc3a645801b2939b9021dcf154d4,none
nmc_g4_us06_s2,909ffec18fb6fa91989ce1d588bd072d578add406044d1424028b550f29d3381,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_g4_us06_s2/cema_data.c,0796faa0a5a3468d3b50d9914ecfa043a66ea31ff00f65f49573639ac21b13f8,none
nmc_g4_us06_s2,909ffec18fb6fa91989ce1d588bd072d578add406044d1424028b550f29d3381,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_g4_us06_s2/cema_h563_bench.elf,043aeb8aee4f29d36ada9ad8ac47701971756e1019e9b7a9a05be58d7173f447,none
nmc_t6_dst_s0,8ded4ba3779342f2420b2e5109e4cb5b4145452ea3ca072ebdd0dd6a339a12d9,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_dst_s0/source_weights.pt,8ded4ba3779342f2420b2e5109e4cb5b4145452ea3ca072ebdd0dd6a339a12d9,none
nmc_t6_dst_s0,8ded4ba3779342f2420b2e5109e4cb5b4145452ea3ca072ebdd0dd6a339a12d9,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_dst_s0/model_static.onnx,7a967f5147f1ffbcefda8862fbadb3d201755666f29122f978298541ec633e81,none
nmc_t6_dst_s0,8ded4ba3779342f2420b2e5109e4cb5b4145452ea3ca072ebdd0dd6a339a12d9,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_dst_s0/cema_data.c,96f4a8d4416984a01b5558ebc9a8c3eb38bbda1c063cabf7d4a0793eb205e70f,none
nmc_t6_dst_s0,8ded4ba3779342f2420b2e5109e4cb5b4145452ea3ca072ebdd0dd6a339a12d9,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_dst_s0/cema_h563_bench.elf,88f475560594ee8b531c7a061c48a0776d47b2e09662437815e58615fba7f9f3,none
nmc_t6_dst_s1,b492a2c4707cbb248e66b317e0ada93a84c8e12a04084b4ce67eaf805cbbd8e1,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_dst_s1/source_weights.pt,b492a2c4707cbb248e66b317e0ada93a84c8e12a04084b4ce67eaf805cbbd8e1,none
nmc_t6_dst_s1,b492a2c4707cbb248e66b317e0ada93a84c8e12a04084b4ce67eaf805cbbd8e1,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_dst_s1/model_static.onnx,b0ad2ee4ac0916aa33b3b59411cca112b5a4323dc0c056e773813cdbc83ddb2d,none
nmc_t6_dst_s1,b492a2c4707cbb248e66b317e0ada93a84c8e12a04084b4ce67eaf805cbbd8e1,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_dst_s1/cema_data.c,47d561a1036cb2daa875e217a642bf91831cecedac95d45b411dfcca59ea6d78,none
nmc_t6_dst_s1,b492a2c4707cbb248e66b317e0ada93a84c8e12a04084b4ce67eaf805cbbd8e1,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_dst_s1/cema_h563_bench.elf,24b3b543a1d5cd473e0fb175b10e3fda5305f43412099e0aebeea9366c921af8,none
nmc_t6_dst_s2,64c4a6599bd070e8257dc13c4c7874d59f0105389bd22218f4c9fc200d2aa1bf,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_dst_s2/source_weights.pt,64c4a6599bd070e8257dc13c4c7874d59f0105389bd22218f4c9fc200d2aa1bf,none
nmc_t6_dst_s2,64c4a6599bd070e8257dc13c4c7874d59f0105389bd22218f4c9fc200d2aa1bf,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_dst_s2/model_static.onnx,503251f25eb7310093920d96f5c09de5aa3fd9b2aface4600e78be75538601c2,none
nmc_t6_dst_s2,64c4a6599bd070e8257dc13c4c7874d59f0105389bd22218f4c9fc200d2aa1bf,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_dst_s2/cema_data.c,25c0e879d48e6065e4eb47640aeb9ae47ecfe730fbac42badd05e1e034e0820a,none
nmc_t6_dst_s2,64c4a6599bd070e8257dc13c4c7874d59f0105389bd22218f4c9fc200d2aa1bf,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_dst_s2/cema_h563_bench.elf,7c3d3e2942f3764f0b02daa5a2cdd5e5d8f4a5aae8c0327671c218f24a138b68,none
