chemistry,method,init_condition,mae_fp64_locked_pct,mae_mcu_fp32_pct,delta_pct,delta_rel_pct,worst_slice_delta_pct,worst_slice_id,ordering_preserved,display_3dp_changed,mcu_precision_actual,mae_mcu_actual_pct,delta_actual_minus_locked_pct,worst_actual_slice_delta_pct,worst_actual_slice_id
NMC,2RC_EKF,minus5pp,1.8913467162123767,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_EKF,oracle,1.727214853122724,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,fp64,1.7272143945998117,-4.5852291230552567e-07,-4.153182332267136e-06,FUDS_45C
NMC,2RC_UKF,minus10pp,2.536513147846252,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_UKF,minus5pp,3.021974619162925,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,2RC_UKF,oracle,5.664560046280466,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,fp64,6.255042141739987,0.5904820954595209,5.2445519927285815,FUDS_45C
NMC,Adaptive_2RC_EKF,minus10pp,2.034084838533827,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,Adaptive_2RC_EKF,minus5pp,1.754317591574512,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,Adaptive_2RC_EKF,oracle,1.7046941132107791,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,fp64,1.6953667103978147,-0.009327402812964403,-0.0839473914050901,US06_25C
NMC,CC,minus10pp,9.909595515347725,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,CC,minus5pp,5.02905618771599,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured_for_full_method_set,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
NMC,CC,oracle,0.0994501563248721,0.09947357941545402,2.3423090581925488e-05,0.023552593025002077,-0.0008348750701998,DST_25C,MISSING_not_measured_for_full_method_set,False,fp32,0.09947357941545402,2.3423090581925488e-05,-0.0008348750701998,DST_25C
