chemistry,feature,fold,seed,temperature_C,record_file,precision,n_compared,mean_abs_prediction_diff_pct,max_abs_prediction_diff_pct,mae_actual_dt_pct,mae_fixed_1s_pct,delta_mae_fixed_minus_actual_pct,analysis_type
NMC,G4,FUDS,2,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_FUDS.csv,fp32_network_fp64_ema,11577,0.00924437080044259,0.028371810913085938,0.2845806957664203,0.27754019072015135,-0.007040505046268963,PC_proxy_not_onchip
NMC,G4,US06,0,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_US06.csv,fp32_network_fp64_ema,9433,0.011675994691989789,0.16465038061141968,0.4785535712493818,0.47327251606640525,-0.005281055182976557,PC_proxy_not_onchip
NMC,G4,US06,0,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_US06.csv,fp32_network_fp64_ema,10631,0.00889127152977092,0.1618519425392151,0.3713079252315281,0.37466814471871207,0.0033602194871839575,PC_proxy_not_onchip
NMC,G4,US06,0,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_US06.csv,fp32_network_fp64_ema,10835,0.009962145134249645,0.015458464622497559,0.18007545591700855,0.17437640076657923,-0.005699055150429316,PC_proxy_not_onchip
NMC,G4,US06,1,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_US06.csv,fp32_network_fp64_ema,9433,0.011661334630099154,0.1576550304889679,0.5022000326069997,0.49770695396913833,-0.004493078637861414,PC_proxy_not_onchip
NMC,G4,US06,1,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_US06.csv,fp32_network_fp64_ema,10631,0.009021240464103221,0.13295002281665802,0.33119830003132056,0.33353019030694186,0.0023318902756213067,PC_proxy_not_onchip
NMC,G4,US06,1,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_US06.csv,fp32_network_fp64_ema,10835,0.010058992350216995,0.015386752784252167,0.20150561055455798,0.19835757139644292,-0.003148039158115068,PC_proxy_not_onchip
NMC,G4,US06,2,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_US06.csv,fp32_network_fp64_ema,9433,0.011775408603221757,0.13346374034881592,0.4595000922974094,0.45713060152519713,-0.0023694907722122682,PC_proxy_not_onchip
NMC,G4,US06,2,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_US06.csv,fp32_network_fp64_ema,10631,0.009000393520932399,0.14902688562870026,0.3881315749819163,0.39309989419931257,0.0049683192173962665,PC_proxy_not_onchip
NMC,G4,US06,2,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_US06.csv,fp32_network_fp64_ema,10835,0.009971998535684578,0.015234947204589844,0.16035508359815492,0.1630088943067964,0.0026538107086414853,PC_proxy_not_onchip
