chemistry,feature,comparison,n_matched_seeds,mean_diff_mae_pct,ci95_lo,ci95_hi,seed_differences,method
LFP,G4,anchor_only-aux_on_locked_reference,3,0.011430608498584719,-0.07156861798119367,0.09442983497836312,"0.0123641878499,0.04436572012,-0.0224380824741",matched_seed_Student_t
LFP,G4,aux_all_off-aux_on_locked_reference,3,0.08716451868348796,0.01936862259620724,0.15496041477076866,"0.0688747210141,0.118534169142,0.074084665894",matched_seed_Student_t
LFP,T6,anchor_only-aux_on_locked_reference,3,0.00565215959451774,-0.05789140564815614,0.06919572483719162,"-0.0117361999608,0.0350237706137,-0.00633109186935",matched_seed_Student_t
LFP,T6,aux_all_off-aux_on_locked_reference,3,0.003466048414910642,-0.04156181005799484,0.04849390688781612,"0.02398894418,-0.010354255873,-0.00323654306229",matched_seed_Student_t
NMC,G4,anchor_only-aux_on_locked_reference,3,0.004242599878469903,-0.0001783882400910675,0.008663587997030875,"0.00458429635212,0.0058266645206,0.00231683876269",matched_seed_Student_t
NMC,G4,aux_all_off-aux_on_locked_reference,3,0.08696005009028386,0.03934247940573032,0.1345776207748374,"0.0730277164344,0.108821006911,0.0790314269255",matched_seed_Student_t
NMC,T6,anchor_only-aux_on_locked_reference,3,0.0012003862352267802,-0.0038632712826867305,0.006264043753140291,"0.00209273308273,-0.00113201303828,0.00264043866123",matched_seed_Student_t
NMC,T6,aux_all_off-aux_on_locked_reference,3,0.029721785204676943,-0.0019974401022735955,0.06144101051162748,"0.0440364693447,0.0195054843649,0.0256234019045",matched_seed_Student_t
