chemistry,feature,fold,seed,temperature,mae,rmse,aux_config,source
LFP,G4,US06,2,25.0,0.3009081473568649,0.374281237714053,anchor_only,new_retraining
LFP,G4,US06,2,30.0,0.2764476043413684,0.3550426236200039,anchor_only,new_retraining
LFP,G4,US06,2,40.0,0.2955668236354104,0.3866727060356703,anchor_only,new_retraining
LFP,G4,US06,2,50.0,0.3761639147410572,0.4826926570394976,anchor_only,new_retraining
LFP,T6,DST,0,-10.0,0.6417938312577882,0.7744500019180011,anchor_only,new_retraining
LFP,T6,DST,0,0.0,0.4837165867401338,0.5906087246063613,anchor_only,new_retraining
LFP,T6,DST,0,10.0,0.4640791124884527,0.5730111973068472,anchor_only,new_retraining
LFP,T6,DST,0,20.0,0.4351696233168297,0.5467852575140495,anchor_only,new_retraining
LFP,T6,DST,0,25.0,0.3896832286961369,0.486508906964387,anchor_only,new_retraining
LFP,T6,DST,0,30.0,0.4138374147968708,0.5249395756167349,anchor_only,new_retraining
LFP,T6,DST,0,40.0,0.4430143570793598,0.5558001359715694,anchor_only,new_retraining
LFP,T6,DST,0,50.0,0.5112144397226284,0.615736303173372,anchor_only,new_retraining
LFP,T6,DST,1,-10.0,0.8514344908560358,1.0460135566642437,anchor_only,new_retraining
LFP,T6,DST,1,0.0,0.4978950476471299,0.5954066357279652,anchor_only,new_retraining
LFP,T6,DST,1,10.0,0.414125475295491,0.5042589688983848,anchor_only,new_retraining
LFP,T6,DST,1,20.0,0.357633423207054,0.4554872610017481,anchor_only,new_retraining
LFP,T6,DST,1,25.0,0.2883656638325653,0.3830646752690942,anchor_only,new_retraining
LFP,T6,DST,1,30.0,0.3147093502308419,0.4061154990308672,anchor_only,new_retraining
LFP,T6,DST,1,40.0,0.3589663551323346,0.4407055710938087,anchor_only,new_retraining
LFP,T6,DST,1,50.0,0.3997174437915804,0.4999000827497066,anchor_only,new_retraining
LFP,T6,DST,2,-10.0,0.6904834503202976,0.8548379168208395,anchor_only,new_retraining
LFP,T6,DST,2,0.0,0.4339040657012578,0.5312076583248023,anchor_only,new_retraining
LFP,T6,DST,2,10.0,0.3698283621264867,0.4601605013186141,anchor_only,new_retraining
LFP,T6,DST,2,20.0,0.4036789989550317,0.4959606839482484,anchor_only,new_retraining
LFP,T6,DST,2,25.0,0.3553227642745752,0.4621310515290784,anchor_only,new_retraining
LFP,T6,DST,2,30.0,0.4102106265972696,0.5107424802102448,anchor_only,new_retraining
LFP,T6,DST,2,40.0,0.4858111785652993,0.5855508971183395,anchor_only,new_retraining
LFP,T6,DST,2,50.0,0.5818150225155111,0.690984029072676,anchor_only,new_retraining
LFP,T6,FUDS,0,-10.0,1.5422153422001563,1.958934922313017,anchor_only,new_retraining
LFP,T6,FUDS,0,0.0,0.702706187300261,0.9734211966811775,anchor_only,new_retraining
LFP,T6,FUDS,0,10.0,0.576772514596452,0.7944989177179477,anchor_only,new_retraining
LFP,T6,FUDS,0,20.0,0.4759244449156072,0.6225645887038415,anchor_only,new_retraining
LFP,T6,FUDS,0,25.0,0.4928185870441341,0.6401177696515676,anchor_only,new_retraining
LFP,T6,FUDS,0,30.0,0.5745674768653902,0.6828072571192286,anchor_only,new_retraining
LFP,T6,FUDS,0,40.0,0.6077820631846249,0.7483578033151765,anchor_only,new_retraining
LFP,T6,FUDS,0,50.0,0.6626980058893177,0.8431063174273448,anchor_only,new_retraining
LFP,T6,FUDS,1,-10.0,1.629032704397954,2.0804277993070035,anchor_only,new_retraining
LFP,T6,FUDS,1,0.0,0.7925825348365931,1.04017237027135,anchor_only,new_retraining
LFP,T6,FUDS,1,10.0,0.65684830627963,0.8420171669011307,anchor_only,new_retraining
LFP,T6,FUDS,1,20.0,0.4599798529834513,0.6384029345783242,anchor_only,new_retraining
LFP,T6,FUDS,1,25.0,0.4536605998008902,0.6135808873885512,anchor_only,new_retraining
LFP,T6,FUDS,1,30.0,0.4818015635553463,0.5977161259599253,anchor_only,new_retraining
LFP,T6,FUDS,1,40.0,0.527699007299542,0.6532780385542793,anchor_only,new_retraining
LFP,T6,FUDS,1,50.0,0.6049983484100524,0.7686356692477953,anchor_only,new_retraining
LFP,T6,FUDS,2,-10.0,1.5487849044324749,2.020869898792978,anchor_only,new_retraining
LFP,T6,FUDS,2,0.0,0.8677774594999096,1.1498283911203633,anchor_only,new_retraining
LFP,T6,FUDS,2,10.0,0.6721286789981444,0.8797827182435167,anchor_only,new_retraining
LFP,T6,FUDS,2,20.0,0.5168780949645609,0.661098055255481,anchor_only,new_retraining
LFP,T6,FUDS,2,25.0,0.5254579309913836,0.6645102440497314,anchor_only,new_retraining
LFP,T6,FUDS,2,30.0,0.5820818683561867,0.7102888874870186,anchor_only,new_retraining
LFP,T6,FUDS,2,40.0,0.6425594710341044,0.7944934288530717,anchor_only,new_retraining
LFP,T6,FUDS,2,50.0,0.7527678326432151,0.9303164272133496,anchor_only,new_retraining
LFP,T6,US06,0,-10.0,2.151919440263995,2.3844730504456577,anchor_only,new_retraining
LFP,T6,US06,0,0.0,0.8446385013701482,0.951817919270162,anchor_only,new_retraining
LFP,T6,US06,0,10.0,0.5725731728458645,0.6948576395576529,anchor_only,new_retraining
LFP,T6,US06,0,20.0,0.3588452141099401,0.4561872870224285,anchor_only,new_retraining
LFP,T6,US06,0,25.0,0.3088024909191209,0.4030977762737577,anchor_only,new_retraining
LFP,T6,US06,0,30.0,0.3026127318041146,0.4170596375384887,anchor_only,new_retraining
LFP,T6,US06,0,40.0,0.4194179002964807,0.5328603706007979,anchor_only,new_retraining
LFP,T6,US06,0,50.0,0.5470671031902585,0.6507699468020701,anchor_only,new_retraining
LFP,T6,US06,1,-10.0,2.0905133875920687,2.316450304565361,anchor_only,new_retraining
LFP,T6,US06,1,0.0,1.009891757530626,1.106994614345724,anchor_only,new_retraining
LFP,T6,US06,1,10.0,0.7910927638834612,0.9031526580252752,anchor_only,new_retraining
LFP,T6,US06,1,20.0,0.6044418080947159,0.7235913602303422,anchor_only,new_retraining
LFP,T6,US06,1,25.0,0.418934811038231,0.5153216806228305,anchor_only,new_retraining
LFP,T6,US06,1,30.0,0.4161884574500601,0.5262761369472007,anchor_only,new_retraining
LFP,T6,US06,1,40.0,0.2898771851897828,0.4325225080616698,anchor_only,new_retraining
LFP,T6,US06,1,50.0,0.3184440164099656,0.4628255788565895,anchor_only,new_retraining
LFP,T6,US06,2,-10.0,2.0336939589478336,2.246116039203652,anchor_only,new_retraining
LFP,T6,US06,2,0.0,0.8548131385291659,0.9560465382466472,anchor_only,new_retraining
LFP,T6,US06,2,10.0,0.6056570946523441,0.7244696716973102,anchor_only,new_retraining
LFP,T6,US06,2,20.0,0.3790031968981597,0.4771988200610373,anchor_only,new_retraining
LFP,T6,US06,2,25.0,0.3008267923663238,0.3851755073741806,anchor_only,new_retraining
LFP,T6,US06,2,30.0,0.2772747381597941,0.3876414637310806,anchor_only,new_retraining
LFP,T6,US06,2,40.0,0.3616192031696365,0.4587848463697763,anchor_only,new_retraining
LFP,T6,US06,2,50.0,0.441516805995107,0.5336502078590407,anchor_only,new_retraining
LFP,G4,DST,0,-10.0,0.6846017482287563,0.8284399285479329,aux_all_off,new_retraining
LFP,G4,DST,0,0.0,0.5502477933791888,0.6610998758344785,aux_all_off,new_retraining
LFP,G4,DST,0,10.0,0.4417439406363355,0.5676475151121267,aux_all_off,new_retraining
LFP,G4,DST,0,20.0,0.5047975245145256,0.6329597417900691,aux_all_off,new_retraining
LFP,G4,DST,0,25.0,0.4251651823203051,0.5498979667056748,aux_all_off,new_retraining
LFP,G4,DST,0,30.0,0.4848533837338162,0.6076959233282014,aux_all_off,new_retraining
