chemistry,aux_config,comparison,n_matched_seeds,mean_diff_mae_pct,ci95_lo,ci95_hi,seed_differences,method
LFP,anchor_only,G4-T6,3,-0.07954964691035538,-0.15217887506510377,-0.006920418755606977,"-0.0639970925536,-0.0613759272848,-0.113275920893",matched_seed_Student_t
LFP,aux_all_off,G4-T6,3,-0.0016296255458450408,-0.1335117106448946,0.13025245955320452,"-0.0432117035302,0.0581705482244,-0.0198477213317",matched_seed_Student_t
LFP,aux_on_locked_reference,G4-T6,3,-0.08532809581442236,-0.11871796325360845,-0.051938228375236255,"-0.0880974803643,-0.070717876791,-0.097168930288",matched_seed_Student_t
NMC,anchor_only,G4-T6,3,0.02372469295825343,0.014615126511214063,0.0328342594052928,"0.0258619488053,0.0258217689593,0.0194903611101",matched_seed_Student_t
NMC,aux_all_off,G4-T6,3,0.07792074420061723,0.00785913790551887,0.1479823504957156,"0.0523616326256,0.108178613946,0.0732219860297",matched_seed_Student_t
NMC,aux_on_locked_reference,G4-T6,3,0.02068247931501031,0.014780538160625193,0.026584420469395426,"0.0233703855359,0.0188630914004,0.0198139610087",matched_seed_Student_t
