fold,selected,order,temperature_C,bounds_name,fit_profiles,validation_profile,validation_voltage_rmse_V
FUDS,True,2,0.0,conservative,CV_MEAN,CV_MEAN,0.03257865734967903
FUDS,False,2,0.0,broad,US06,DST,0.0282070981862845
FUDS,False,2,0.0,broad,DST,US06,0.03695537932799541
FUDS,False,2,0.0,broad,CV_MEAN,CV_MEAN,0.03258123875713996
FUDS,True,1,25.0,conservative,US06,DST,0.03671218307395996
FUDS,True,1,25.0,conservative,DST,US06,0.040302786067403604
FUDS,True,1,25.0,conservative,CV_MEAN,CV_MEAN,0.03850748457068178
FUDS,False,1,25.0,broad,US06,DST,0.03671233611110067
FUDS,False,1,25.0,broad,DST,US06,0.040302775109526214
FUDS,False,1,25.0,broad,CV_MEAN,CV_MEAN,0.03850755561031344
FUDS,False,2,25.0,conservative,US06,DST,0.036711815395093994
FUDS,False,2,25.0,conservative,DST,US06,0.04043976878876835
FUDS,False,2,25.0,conservative,CV_MEAN,CV_MEAN,0.03857579209193117
FUDS,True,2,25.0,broad,US06,DST,0.03670920544415511
FUDS,True,2,25.0,broad,DST,US06,0.04043976766319436
FUDS,True,2,25.0,broad,CV_MEAN,CV_MEAN,0.038574486553674736
FUDS,True,1,45.0,conservative,US06,DST,0.03368937872307993
FUDS,True,1,45.0,conservative,DST,US06,0.04263809829455225
FUDS,True,1,45.0,conservative,CV_MEAN,CV_MEAN,0.03816373850881609
FUDS,False,1,45.0,broad,US06,DST,0.03368939130172647
FUDS,False,1,45.0,broad,DST,US06,0.042638093880757996
FUDS,False,1,45.0,broad,CV_MEAN,CV_MEAN,0.038163742591242236
FUDS,True,2,45.0,conservative,US06,DST,0.033690942838266694
FUDS,True,2,45.0,conservative,DST,US06,0.04263088069596935
FUDS,True,2,45.0,conservative,CV_MEAN,CV_MEAN,0.03816091176711802
FUDS,False,2,45.0,broad,US06,DST,0.03368811241270703
FUDS,False,2,45.0,broad,DST,US06,0.042637314001136004
FUDS,False,2,45.0,broad,CV_MEAN,CV_MEAN,0.038162713206921516
