chemistry,reset_band,elapsed_s,n_resets,n_available,median_abs_err_pct,p90_abs_err_pct,median_time_to_1pct_s,recovery_rate,n_reset_trials
LFP,35to65,0,216,0,,,1171.3592700000008,0.9259259259259259,216
LFP,35to65,30,216,0,,,1171.3592700000008,0.9259259259259259,216
LFP,35to65,60,216,216,9.89517933021164,20.429578185981754,1171.3592700000008,0.9259259259259259,216
LFP,35to65,120,216,216,9.164059926643372,19.426943782936096,1171.3592700000008,0.9259259259259259,216
LFP,35to65,300,216,216,7.411813916847233,16.77051759500122,1171.3592700000008,0.9259259259259259,216
LFP,35to65,600,216,213,5.072951478584294,12.929848083511356,1171.3592700000008,0.9259259259259259,216
LFP,35to65,900,216,210,3.2252504840545697,8.453072934664915,1171.3592700000008,0.9259259259259259,216
LFP,35to65,1200,216,207,1.9116670988922095,6.099376508534242,1171.3592700000008,0.9259259259259259,216
LFP,35to65,1800,216,201,0.6442872003059392,2.1971373502426204,1171.3592700000008,0.9259259259259259,216
LFP,35to65,2400,216,186,0.3962650813636799,1.0143215104465497,1171.3592700000008,0.9259259259259259,216
LFP,gt65,0,216,0,,,2838.8806800000016,0.9583333333333334,216
LFP,gt65,30,216,0,,,2838.8806800000016,0.9583333333333334,216
LFP,gt65,60,216,216,14.466870545806884,20.80186011451721,2838.8806800000016,0.9583333333333334,216
LFP,gt65,120,216,216,13.944962133369444,20.022612747016908,2838.8806800000016,0.9583333333333334,216
LFP,gt65,300,216,216,12.365028962024688,17.652473182201383,2838.8806800000016,0.9583333333333334,216
LFP,gt65,600,216,216,9.573032416152955,14.280822559020997,2838.8806800000016,0.9583333333333334,216
LFP,gt65,900,216,216,7.831589672859188,11.776940652915954,2838.8806800000016,0.9583333333333334,216
LFP,gt65,1200,216,216,6.562763659202574,9.880645555599216,2838.8806800000016,0.9583333333333334,216
LFP,gt65,1800,216,216,4.641450129604337,6.637051953887934,2838.8806800000016,0.9583333333333334,216
LFP,gt65,2400,216,216,2.852534691104882,5.113002398872382,2838.8806800000016,0.9583333333333334,216
LFP,le35,0,216,0,,,486.44408999999905,0.8240740740740741,216
LFP,le35,30,216,0,,,486.44408999999905,0.8240740740740741,216
LFP,le35,60,216,213,4.6680076050796515,10.18491863188553,486.44408999999905,0.8240740740740741,216
LFP,le35,120,216,198,4.4739510790329,8.54074912507096,486.44408999999905,0.8240740740740741,216
LFP,le35,300,216,180,3.2499211863346087,6.421677838323593,486.44408999999905,0.8240740740740741,216
LFP,le35,600,216,138,1.447847860659313,3.4119344803455354,486.44408999999905,0.8240740740740741,216
LFP,le35,900,216,111,0.669054873130797,2.0998887960262316,486.44408999999905,0.8240740740740741,216
LFP,le35,1200,216,90,0.3216878399653438,1.1689531546341339,486.44408999999905,0.8240740740740741,216
LFP,le35,1800,216,39,0.24513932545776385,0.576096157938766,486.44408999999905,0.8240740740740741,216
LFP,le35,2400,216,6,0.17767733178443912,0.3043512249028204,486.44408999999905,0.8240740740740741,216
NMC,35to65,0,81,0,,,1297.61982,1.0,81
NMC,35to65,30,81,0,,,1297.61982,1.0,81
NMC,35to65,60,81,81,3.8035211448364237,7.437476921195987,1297.61982,1.0,81
NMC,35to65,120,81,81,3.864763440704344,6.709848239059447,1297.61982,1.0,81
NMC,35to65,300,81,81,2.855712097000115,6.007995992256163,1297.61982,1.0,81
NMC,35to65,600,81,81,2.345114491531369,4.99693710896301,1297.61982,1.0,81
NMC,35to65,900,81,81,1.9083230817031804,4.138117272644045,1297.61982,1.0,81
NMC,35to65,1200,81,81,1.5483997571563748,3.8131442329788143,1297.61982,1.0,81
NMC,35to65,1800,81,81,0.7819415086746204,1.8063366257629383,1297.61982,1.0,81
NMC,35to65,2400,81,81,0.39700295141601316,1.7698881931762713,1297.61982,1.0,81
NMC,gt65,0,81,0,,,49.54646000000139,1.0,81
NMC,gt65,30,81,0,,,49.54646000000139,1.0,81
NMC,gt65,60,81,81,0.8155373506164523,2.4568347079467685,49.54646000000139,1.0,81
NMC,gt65,120,81,81,0.9268811873626674,2.335211893539423,49.54646000000139,1.0,81
NMC,gt65,300,81,81,0.5721544385528574,2.066492666168216,49.54646000000139,1.0,81
NMC,gt65,600,81,81,0.40470934808350023,1.8685453089141788,49.54646000000139,1.0,81
NMC,gt65,900,81,81,0.5614874634399456,1.8451895252990766,49.54646000000139,1.0,81
NMC,gt65,1200,81,81,0.5492212480163658,1.4885903385009698,49.54646000000139,1.0,81
NMC,gt65,1800,81,81,0.5441079330444296,1.2414927578582748,49.54646000000139,1.0,81
NMC,gt65,2400,81,81,0.4026032431030302,0.752836702766416,49.54646000000139,1.0,81
NMC,le35,0,81,0,,,1059.260809999998,0.8641975308641975,81
NMC,le35,30,81,0,,,1059.260809999998,0.8641975308641975,81
NMC,le35,60,81,81,5.099448284912107,9.738882702732088,1059.260809999998,0.8641975308641975,81
NMC,le35,120,81,78,4.94374242698288,8.792841455420495,1059.260809999998,0.8641975308641975,81
NMC,le35,300,81,72,4.256064989440918,8.064689140806578,1059.260809999998,0.8641975308641975,81
NMC,le35,600,81,69,2.6145539211082465,6.8897683483085626,1059.260809999998,0.8641975308641975,81
NMC,le35,900,81,66,1.6434526791706094,5.025348247772216,1059.260809999998,0.8641975308641975,81
NMC,le35,1200,81,60,0.9790341455534937,2.9632509587612144,1059.260809999998,0.8641975308641975,81
NMC,le35,1800,81,42,0.35507859749526993,1.3915759678709019,1059.260809999998,0.8641975308641975,81
NMC,le35,2400,81,33,0.3489706703775406,1.435447791155242,1059.260809999998,0.8641975308641975,81
