chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,elapsed_s,abs_err_pct
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5027,32.94816,le35,300,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5027,32.94816,le35,600,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5027,32.94816,le35,900,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5027,32.94816,le35,1200,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5027,32.94816,le35,1800,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5027,32.94816,le35,2400,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,0,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,30,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,60,0.755380838127131
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,120,0.2865875993728615
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,300,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,600,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,900,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,1200,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,1800,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5054,32.94831,le35,2400,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,0,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,30,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,60,2.610820121994017
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,120,1.5466450856399518
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,300,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,600,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,900,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,1200,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,1800,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5110,32.393699999999995,le35,2400,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,0,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,30,
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,60,11.876518370437623
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,120,13.51949012597656
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,300,14.80896082626343
LFP,DST,-10.0,1,LFP_-10C_DST.csv,1292,83.70679,gt65,600,11.606831583023066
