chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,time_to_1pct_s,recovered
LFP,DST,10.0,1,LFP_10C_DST.csv,2178,70.746493,gt65,1677.2697230000008,True
LFP,DST,10.0,1,LFP_10C_DST.csv,2490,65.89829,gt65,1721.6656400000002,True
LFP,DST,10.0,1,LFP_10C_DST.csv,3525,51.53172,35to65,1764.8962960000008,True
LFP,DST,10.0,1,LFP_10C_DST.csv,4342,41.46325,35to65,151.8195680000008,True
LFP,DST,10.0,1,LFP_10C_DST.csv,4762,36.07519,35to65,165.86205000000064,True
LFP,DST,10.0,1,LFP_10C_DST.csv,5211,30.059618,le35,796.3945999999996,True
LFP,DST,10.0,1,LFP_10C_DST.csv,5868,21.06409,le35,496.6532499999994,True
LFP,DST,10.0,1,LFP_10C_DST.csv,5988,19.885242,le35,377.07810000000063,True
LFP,DST,10.0,2,LFP_10C_DST.csv,422,94.54148,gt65,3463.203086,True
LFP,DST,10.0,2,LFP_10C_DST.csv,2178,70.746493,gt65,2038.1857639999998,True
LFP,DST,10.0,2,LFP_10C_DST.csv,2490,65.89829,gt65,1748.8120420000005,True
LFP,DST,10.0,2,LFP_10C_DST.csv,3525,51.53172,35to65,1791.0246060000009,True
LFP,DST,10.0,2,LFP_10C_DST.csv,4342,41.46325,35to65,228.23038799999995,True
LFP,DST,10.0,2,LFP_10C_DST.csv,4762,36.07519,35to65,189.98941999999988,True
LFP,DST,10.0,2,LFP_10C_DST.csv,5211,30.059618,le35,868.8183199999994,True
LFP,DST,10.0,2,LFP_10C_DST.csv,5868,21.06409,le35,498.6642299999994,True
LFP,DST,10.0,2,LFP_10C_DST.csv,5988,19.885242,le35,378.0840699999999,True
LFP,DST,20.0,0,LFP_20C_DST.csv,489,94.108146,gt65,3757.287334999999,True
LFP,DST,20.0,0,LFP_20C_DST.csv,937,88.486177,gt65,3308.8187550000002,True
LFP,DST,20.0,0,LFP_20C_DST.csv,2094,71.41937,gt65,2598.446190999999,True
LFP,DST,20.0,0,LFP_20C_DST.csv,3250,57.108843,35to65,413.2295200000003,True
LFP,DST,20.0,0,LFP_20C_DST.csv,3762,50.791160000000005,35to65,932.2261589999994,True
LFP,DST,20.0,0,LFP_20C_DST.csv,4732,37.4697,35to65,946.8026329999993,True
LFP,DST,20.0,0,LFP_20C_DST.csv,5419,28.481823000000002,le35,346.96612000000005,True
LFP,DST,20.0,0,LFP_20C_DST.csv,6594,13.109905999999999,le35,500.46060000000034,True
LFP,DST,20.0,0,LFP_20C_DST.csv,7068,7.341480000000001,le35,49.20767999999953,True
LFP,DST,20.0,1,LFP_20C_DST.csv,489,94.108146,gt65,3391.7280889999997,True
LFP,DST,20.0,1,LFP_20C_DST.csv,937,88.486177,gt65,2942.2582070000003,True
LFP,DST,20.0,1,LFP_20C_DST.csv,2094,71.41937,gt65,2481.273256999999,True
LFP,DST,20.0,1,LFP_20C_DST.csv,3250,57.108843,35to65,315.76672900000085,True
LFP,DST,20.0,1,LFP_20C_DST.csv,3762,50.791160000000005,35to65,813.081882,True
LFP,DST,20.0,1,LFP_20C_DST.csv,4732,37.4697,35to65,920.7549330000002,True
LFP,DST,20.0,1,LFP_20C_DST.csv,5419,28.481823000000002,le35,234.80061000000023,True
LFP,DST,20.0,1,LFP_20C_DST.csv,6594,13.109905999999999,le35,133.46255999999994,True
LFP,DST,20.0,1,LFP_20C_DST.csv,7068,7.341480000000001,le35,49.20767999999953,True
LFP,DST,20.0,2,LFP_20C_DST.csv,489,94.108146,gt65,3726.172133,True
LFP,DST,20.0,2,LFP_20C_DST.csv,937,88.486177,gt65,3278.712249,True
LFP,DST,20.0,2,LFP_20C_DST.csv,2094,71.41937,gt65,2508.385838,True
LFP,DST,20.0,2,LFP_20C_DST.csv,3250,57.108843,35to65,627.3239950000007,True
LFP,DST,20.0,2,LFP_20C_DST.csv,3762,50.791160000000005,35to65,838.1745249999999,True
LFP,DST,20.0,2,LFP_20C_DST.csv,4732,37.4697,35to65,586.7181630000005,True
LFP,DST,20.0,2,LFP_20C_DST.csv,5419,28.481823000000002,le35,253.83612999999968,True
LFP,DST,20.0,2,LFP_20C_DST.csv,6594,13.109905999999999,le35,487.4167699999998,True
LFP,DST,20.0,2,LFP_20C_DST.csv,7068,7.341480000000001,le35,49.20767999999953,True
LFP,DST,25.0,0,LFP_25C_DST.csv,810,89.7675,gt65,3433.0137680000007,True
LFP,DST,25.0,0,LFP_25C_DST.csv,1260,83.78219999999999,gt65,2982.5160530000003,True
LFP,DST,25.0,0,LFP_25C_DST.csv,2010,74.24195,gt65,2513.943198,True
LFP,DST,25.0,0,LFP_25C_DST.csv,3558,52.25873599999999,35to65,678.763402999999,True
LFP,DST,25.0,0,LFP_25C_DST.csv,3747,50.928174999999996,35to65,943.3627830000005,True
LFP,DST,25.0,0,LFP_25C_DST.csv,3858,48.51394,35to65,1791.0804469999998,True
LFP,DST,25.0,0,LFP_25C_DST.csv,6113,18.872067,le35,324.8839200000002,True
LFP,DST,25.0,0,LFP_25C_DST.csv,6157,18.606138,le35,568.9878900000003,True
LFP,DST,25.0,0,LFP_25C_DST.csv,6752,9.560572,le35,350.05310999999983,True
LFP,DST,25.0,1,LFP_25C_DST.csv,810,89.7675,gt65,3069.949375,True
LFP,DST,25.0,1,LFP_25C_DST.csv,1260,83.78219999999999,gt65,2952.366799999999,True
LFP,DST,25.0,1,LFP_25C_DST.csv,2010,74.24195,gt65,2204.2313670000003,True
LFP,DST,25.0,1,LFP_25C_DST.csv,3558,52.25873599999999,35to65,650.6177769999995,True
LFP,DST,25.0,1,LFP_25C_DST.csv,3747,50.928174999999996,35to65,824.4778690000003,True
