chemistry,holdout,temperature_C,seed,record,n_predictions,max_abs_diff,passed_atol_1e6
LFP,US06,50.0,2,LFP_50C_US06.csv,7116,2.9752349806067002e-08,True
NMC,DST,0.0,0,NMC_0C_DST.csv,9478,2.979507440770135e-08,True
NMC,DST,0.0,1,NMC_0C_DST.csv,9478,2.9795837352963872e-08,True
NMC,DST,0.0,2,NMC_0C_DST.csv,9478,2.9796600298226394e-08,True
NMC,DST,25.0,0,NMC_25C_DST.csv,10572,2.979812618875144e-08,True
NMC,DST,25.0,1,NMC_25C_DST.csv,10572,2.9796600298226394e-08,True
NMC,DST,25.0,2,NMC_25C_DST.csv,10572,2.976074220395475e-08,True
NMC,DST,45.0,0,NMC_45C_DST.csv,11255,2.9795837352963872e-08,True
NMC,DST,45.0,1,NMC_45C_DST.csv,11255,2.9792785682936085e-08,True
NMC,DST,45.0,2,NMC_45C_DST.csv,11255,2.980117796980153e-08,True
NMC,FUDS,0.0,0,NMC_0C_FUDS.csv,9658,2.9775238052920372e-08,True
NMC,FUDS,0.0,1,NMC_0C_FUDS.csv,9658,2.978820801136095e-08,True
NMC,FUDS,0.0,2,NMC_0C_FUDS.csv,9658,2.9800415024539006e-08,True
NMC,FUDS,25.0,0,NMC_25C_FUDS.csv,11043,2.9790496847148518e-08,True
NMC,FUDS,25.0,1,NMC_25C_FUDS.csv,11043,2.9783630339785816e-08,True
NMC,FUDS,25.0,2,NMC_25C_FUDS.csv,11043,2.9799652079276484e-08,True
NMC,FUDS,45.0,0,NMC_45C_FUDS.csv,11577,2.9790496847148518e-08,True
NMC,FUDS,45.0,1,NMC_45C_FUDS.csv,11577,2.979431157346113e-08,True
NMC,FUDS,45.0,2,NMC_45C_FUDS.csv,11577,2.9782867394523294e-08,True
NMC,US06,0.0,0,NMC_0C_US06.csv,9433,2.979125979241104e-08,True
NMC,US06,0.0,1,NMC_0C_US06.csv,9433,2.9785919175573383e-08,True
NMC,US06,0.0,2,NMC_0C_US06.csv,9433,2.9793548628198607e-08,True
NMC,US06,25.0,0,NMC_25C_US06.csv,10631,2.9790496847148518e-08,True
NMC,US06,25.0,1,NMC_25C_US06.csv,10631,2.9796600298226394e-08,True
NMC,US06,25.0,2,NMC_25C_US06.csv,10631,2.9785919175573383e-08,True
NMC,US06,45.0,0,NMC_45C_US06.csv,10835,2.9800415024539006e-08,True
NMC,US06,45.0,1,NMC_45C_US06.csv,10835,3.102544784278072e-08,True
NMC,US06,45.0,2,NMC_45C_US06.csv,10835,2.977828983397046e-08,True
