model,precision,window_index,repeat_index,cycles,clock_hz
nmc_t6plain_dst_s0,fp32,5,9,47692546,250000000
nmc_t6plain_dst_s0,fp32,5,10,47692546,250000000
nmc_t6plain_dst_s0,fp32,5,11,47692546,250000000
nmc_t6plain_dst_s0,fp32,5,12,47692546,250000000
nmc_t6plain_dst_s0,fp32,5,13,47692546,250000000
nmc_t6plain_dst_s0,fp32,5,14,47692546,250000000
nmc_t6plain_dst_s0,fp32,5,15,47692546,250000000
nmc_t6plain_dst_s0,fp32,6,0,47696087,250000000
nmc_t6plain_dst_s0,fp32,6,1,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,2,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,3,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,4,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,5,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,6,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,7,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,8,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,9,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,10,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,11,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,12,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,13,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,14,47696034,250000000
nmc_t6plain_dst_s0,fp32,6,15,47696034,250000000
nmc_t6plain_dst_s0,fp32,7,0,47710332,250000000
nmc_t6plain_dst_s0,fp32,7,1,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,2,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,3,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,4,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,5,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,6,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,7,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,8,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,9,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,10,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,11,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,12,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,13,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,14,47710279,250000000
nmc_t6plain_dst_s0,fp32,7,15,47710279,250000000
nmc_t6plain_dst_s0,fp32,8,0,47724323,250000000
nmc_t6plain_dst_s0,fp32,8,1,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,2,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,3,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,4,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,5,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,6,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,7,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,8,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,9,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,10,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,11,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,12,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,13,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,14,47724270,250000000
nmc_t6plain_dst_s0,fp32,8,15,47724270,250000000
nmc_t6plain_dst_s0,fp32,9,0,47725558,250000000
nmc_t6plain_dst_s0,fp32,9,1,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,2,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,3,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,4,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,5,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,6,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,7,47725535,250000000
nmc_t6plain_dst_s0,fp32,9,8,47725535,250000000
