chemistry,feature,fold,seed,temperature_C,mae_torch_pct,mae_onnx_pct,max_abs_diff_pct
NMC,T6PLAIN,DST,0,0,0.3369723898771329,0.33697254347952255,2.086162567138672e-05
NMC,T6PLAIN,DST,0,25,0.27346950304989,0.27346975605390383,1.7881393432617188e-05
NMC,T6PLAIN,DST,0,45,0.28340864482748007,0.28340818432135906,1.7881393432617188e-05
NMC,T6PLAIN,DST,1,0,0.3255468581352175,0.32554750288792966,2.2351741790771484e-05
NMC,T6PLAIN,DST,1,25,0.31512145708719314,0.31512159408992374,1.7881393432617188e-05
NMC,T6PLAIN,DST,1,45,0.1652382895302508,0.16523865285776396,2.384185791015625e-05
NMC,T6PLAIN,DST,2,0,0.3048286240868984,0.30482919368920913,2.384185791015625e-05
NMC,T6PLAIN,DST,2,25,0.3930703097870059,0.39307069845473186,2.384185791015625e-05
NMC,T6PLAIN,DST,2,45,0.18048310915633722,0.18048374242258897,1.7881393432617188e-05
NMC,T6PLAIN,FUDS,0,0,0.4915639693104508,0.4915641171957584,1.7881393432617188e-05
NMC,T6PLAIN,FUDS,0,25,0.34846781355438555,0.3484680514494067,2.086162567138672e-05
NMC,T6PLAIN,FUDS,0,45,0.43094182752206117,0.43094222582596814,1.862645149230957e-05
NMC,T6PLAIN,FUDS,1,0,0.47837410248273216,0.4783739884637001,2.384185791015625e-05
NMC,T6PLAIN,FUDS,1,25,0.3060441724852435,0.3060442379974572,1.7881393432617188e-05
NMC,T6PLAIN,FUDS,1,45,0.3160987800854132,0.316098481277037,1.7881393432617188e-05
NMC,T6PLAIN,FUDS,2,0,0.4885163939262007,0.4885164072721362,2.384185791015625e-05
NMC,T6PLAIN,FUDS,2,25,0.2583467011706328,0.25834672485218485,2.384185791015625e-05
NMC,T6PLAIN,FUDS,2,45,0.2522099956985463,0.2522097130437136,2.384185791015625e-05
NMC,T6PLAIN,US06,0,0,0.5603203629345738,0.5603202906640211,2.086162567138672e-05
NMC,T6PLAIN,US06,0,25,0.26954280078489545,0.26954225710671936,1.7881393432617188e-05
NMC,T6PLAIN,US06,0,45,0.12774613318602765,0.12774633775896052,1.7881393432617188e-05
NMC,T6PLAIN,US06,1,0,0.5075137933843837,0.507513700498952,2.384185791015625e-05
NMC,T6PLAIN,US06,1,25,0.4907931309306657,0.4907930843951984,1.7881393432617188e-05
NMC,T6PLAIN,US06,1,45,0.30580226886311856,0.3058021502108175,2.384185791015625e-05
NMC,T6PLAIN,US06,2,0,0.5630935597141029,0.5630935573445767,2.384185791015625e-05
NMC,T6PLAIN,US06,2,25,0.2551587799417049,0.2551584298394062,2.384185791015625e-05
NMC,T6PLAIN,US06,2,45,0.12116852943019044,0.12116840485970322,2.384185791015625e-05
LFP,T6PLAIN,DST,0,-10,0.867445797165672,0.867445954289664,1.7881393432617188e-05
LFP,T6PLAIN,DST,0,0,0.5738583052982806,0.573858436082719,1.7881393432617188e-05
LFP,T6PLAIN,DST,0,10,0.4261445993732452,0.4261449758760593,1.7881393432617188e-05
LFP,T6PLAIN,DST,0,20,0.37652519382745675,0.37652530393253536,1.7881393432617188e-05
LFP,T6PLAIN,DST,0,25,0.31823464361876147,0.31823488330166916,2.086162567138672e-05
LFP,T6PLAIN,DST,0,30,0.37130898512071503,0.37130913940448723,1.7881393432617188e-05
LFP,T6PLAIN,DST,0,40,0.46501596695921954,0.4650161149736603,1.9371509552001953e-05
LFP,T6PLAIN,DST,0,50,0.487771383588025,0.48777148419347105,1.7881393432617188e-05
LFP,T6PLAIN,DST,1,-10,0.8432149861359329,0.8432151791251838,1.7881393432617188e-05
LFP,T6PLAIN,DST,1,0,0.5583472393042187,0.5583474400041638,1.7881393432617188e-05
LFP,T6PLAIN,DST,1,10,0.4590823900372561,0.4590825174102881,2.384185791015625e-05
LFP,T6PLAIN,DST,1,20,0.43003469405764144,0.4300348822222907,2.384185791015625e-05
LFP,T6PLAIN,DST,1,25,0.41412389562073487,0.4141237660066927,1.7881393432617188e-05
LFP,T6PLAIN,DST,1,30,0.49773277958497264,0.49773277073923533,2.9802322387695312e-05
LFP,T6PLAIN,DST,1,40,0.5623035968187492,0.5623034838815653,1.9371509552001953e-05
LFP,T6PLAIN,DST,1,50,0.6190202458079929,0.6190200280430461,2.086162567138672e-05
LFP,T6PLAIN,DST,2,-10,0.7923586330321312,0.7923588026804993,2.384185791015625e-05
