model,precision,sample_index,repeat_index,total_cycles,network_cycles,preprocessing_window_cycles,clock_hz
nmc_t6plain_dst_s0,fp32,131,72,47951701,47928626,23075,250000000
nmc_t6plain_dst_s0,fp32,132,73,47951948,47928873,23075,250000000
nmc_t6plain_dst_s0,fp32,133,74,47952251,47929176,23075,250000000
nmc_t6plain_dst_s0,fp32,134,75,47952165,47929090,23075,250000000
nmc_t6plain_dst_s0,fp32,135,76,47952514,47929439,23075,250000000
nmc_t6plain_dst_s0,fp32,136,77,47952902,47929827,23075,250000000
nmc_t6plain_dst_s0,fp32,137,78,47953051,47929976,23075,250000000
nmc_t6plain_dst_s0,fp32,138,79,47953267,47930192,23075,250000000
nmc_t6plain_dst_s0,fp32,139,80,47953447,47930372,23075,250000000
nmc_t6plain_dst_s0,fp32,140,81,47953597,47930522,23075,250000000
nmc_t6plain_dst_s0,fp32,141,82,47953796,47930721,23075,250000000
nmc_t6plain_dst_s0,fp32,142,83,47953990,47930915,23075,250000000
nmc_t6plain_dst_s0,fp32,143,84,47954016,47930941,23075,250000000
nmc_t6plain_dst_s0,fp32,144,85,47954129,47931054,23075,250000000
nmc_t6plain_dst_s0,fp32,145,86,47954208,47931133,23075,250000000
nmc_t6plain_dst_s0,fp32,146,87,47954290,47931215,23075,250000000
nmc_t6plain_dst_s0,fp32,147,88,47954283,47931208,23075,250000000
nmc_t6plain_dst_s0,fp32,148,89,47954308,47931233,23075,250000000
nmc_t6plain_dst_s0,fp32,149,90,47954524,47931449,23075,250000000
nmc_t6plain_dst_s0,fp32,150,91,47954607,47931532,23075,250000000
nmc_t6plain_dst_s0,fp32,151,92,47954563,47931488,23075,250000000
nmc_t6plain_dst_s0,fp32,152,93,47954664,47931589,23075,250000000
nmc_t6plain_dst_s0,fp32,153,94,47954869,47931794,23075,250000000
nmc_t6plain_dst_s0,fp32,154,95,47955056,47931981,23075,250000000
nmc_t6plain_dst_s0,fp32,155,96,47955179,47932104,23075,250000000
nmc_t6plain_dst_s0,fp32,156,97,47955376,47932301,23075,250000000
nmc_t6plain_dst_s0,fp32,157,98,47955630,47932555,23075,250000000
nmc_t6plain_dst_s0,fp32,158,99,47955691,47932616,23075,250000000
nmc_t6plain_dst_s0,fp32,159,100,47955707,47932632,23075,250000000
nmc_t6plain_dst_s0,fp32,160,101,47955900,47932825,23075,250000000
nmc_t6plain_dst_s0,fp32,161,102,47955949,47932867,23082,250000000
nmc_t6plain_dst_s0,fp32,162,103,47956159,47933075,23084,250000000
nmc_t6plain_dst_s0,fp32,163,104,47956202,47933127,23075,250000000
nmc_t6plain_dst_s0,fp32,164,105,47956295,47933220,23075,250000000
nmc_t6plain_dst_s0,fp32,165,106,47956272,47933197,23075,250000000
nmc_t6plain_dst_s0,fp32,166,107,47956175,47933100,23075,250000000
nmc_t6plain_dst_s0,fp32,167,108,47956067,47932992,23075,250000000
nmc_t6plain_dst_s0,fp32,168,109,47956003,47932928,23075,250000000
nmc_t6plain_dst_s0,fp32,169,110,47955898,47932823,23075,250000000
nmc_t6plain_dst_s0,fp32,170,111,47955973,47932891,23082,250000000
nmc_t6plain_dst_s0,fp32,171,112,47955830,47932739,23091,250000000
nmc_t6plain_dst_s0,fp32,172,113,47955564,47932482,23082,250000000
nmc_t6plain_dst_s0,fp32,173,114,47955393,47932309,23084,250000000
nmc_t6plain_dst_s0,fp32,174,115,47955221,47932146,23075,250000000
nmc_t6plain_dst_s0,fp32,175,116,47955058,47931983,23075,250000000
nmc_t6plain_dst_s0,fp32,176,117,47954880,47931805,23075,250000000
nmc_t6plain_dst_s0,fp32,177,118,47954733,47931667,23066,250000000
nmc_t6plain_dst_s0,fp32,178,119,47954515,47931451,23064,250000000
nmc_t6plain_dst_s0,fp32,179,120,47954068,47931004,23064,250000000
nmc_t6plain_dst_s0,fp32,180,121,47953815,47930740,23075,250000000
nmc_t6plain_dst_s0,fp32,181,122,47953514,47930450,23064,250000000
nmc_t6plain_dst_s0,fp32,182,123,47953384,47930320,23064,250000000
nmc_t6plain_dst_s0,fp32,183,124,47953020,47929956,23064,250000000
nmc_t6plain_dst_s0,fp32,184,125,47952894,47929819,23075,250000000
nmc_t6plain_dst_s0,fp32,185,126,47952627,47929563,23064,250000000
nmc_t6plain_dst_s0,fp32,186,127,47952386,47929312,23074,250000000
nmc_t6plain_dst_s0,fp32,187,128,47952398,47929323,23075,250000000
nmc_t6plain_dst_s0,fp32,188,129,47952462,47929387,23075,250000000
nmc_t6plain_dst_s0,fp32,189,130,47952329,47929255,23074,250000000
nmc_t6plain_dst_s0,fp32,190,131,47952212,47929137,23075,250000000
nmc_t6plain_dst_s0,fp32,191,132,47952264,47929187,23077,250000000
nmc_t6plain_dst_s0,fp32,192,133,47952230,47929155,23075,250000000
nmc_t6plain_dst_s0,fp32,193,134,47952245,47929179,23066,250000000
nmc_t6plain_dst_s0,fp32,194,135,47952138,47929064,23074,250000000
nmc_t6plain_dst_s0,fp32,195,136,47952085,47929011,23074,250000000
nmc_t6plain_dst_s0,fp32,196,137,47952034,47928960,23074,250000000
nmc_t6plain_dst_s0,fp32,197,138,47952208,47929133,23075,250000000
nmc_t6plain_dst_s0,fp32,198,139,47952118,47929043,23075,250000000
nmc_t6plain_dst_s0,fp32,199,140,47951981,47928907,23074,250000000
nmc_t6plain_dst_s0,fp32,200,141,47951924,47928849,23075,250000000
nmc_t6plain_dst_s0,fp32,201,142,47951890,47928815,23075,250000000
nmc_t6plain_dst_s0,fp32,202,143,47951716,47928641,23075,250000000
nmc_t6plain_dst_s0,fp32,203,144,47951704,47928629,23075,250000000
nmc_t6plain_dst_s0,fp32,204,145,47951702,47928627,23075,250000000
nmc_t6plain_dst_s0,fp32,205,146,47951761,47928686,23075,250000000
nmc_t6plain_dst_s0,fp32,206,147,47951951,47928876,23075,250000000
nmc_t6plain_dst_s0,fp32,207,148,47952277,47929202,23075,250000000
nmc_t6plain_dst_s0,fp32,208,149,47952732,47929657,23075,250000000
nmc_t6plain_dst_s0,fp32,209,150,47952911,47929836,23075,250000000
nmc_t6plain_dst_s0,fp32,210,151,47953200,47930125,23075,250000000
nmc_t6plain_dst_s0,fp32,211,152,47953159,47930084,23075,250000000
nmc_t6plain_dst_s0,fp32,212,153,47953358,47930283,23075,250000000
nmc_t6plain_dst_s0,fp32,213,154,47953290,47930215,23075,250000000
nmc_t6plain_dst_s0,fp32,214,155,47953504,47930429,23075,250000000
nmc_t6plain_dst_s0,fp32,215,156,47953742,47930667,23075,250000000
nmc_t6plain_dst_s0,fp32,216,157,47953617,47930542,23075,250000000
nmc_t6plain_dst_s0,fp32,217,158,47953926,47930851,23075,250000000
nmc_t6plain_dst_s0,fp32,218,159,47954035,47930960,23075,250000000
nmc_t6plain_dst_s0,fp32,219,160,47954346,47931271,23075,250000000
nmc_t6plain_dst_s0,fp32,220,161,47954634,47931552,23082,250000000
nmc_t6plain_dst_s0,fp32,221,162,47954850,47931766,23084,250000000
nmc_t6plain_dst_s0,fp32,222,163,47955497,47932422,23075,250000000
nmc_t6plain_dst_s0,fp32,223,164,47955769,47932694,23075,250000000
nmc_t6plain_dst_s0,fp32,224,165,47955714,47932639,23075,250000000
nmc_t6plain_dst_s0,fp32,225,166,47956147,47933072,23075,250000000
nmc_t6plain_dst_s0,fp32,226,167,47955905,47932830,23075,250000000
nmc_t6plain_dst_s0,fp32,227,168,47955396,47932321,23075,250000000
nmc_t6plain_dst_s0,fp32,228,169,47955652,47932577,23075,250000000
nmc_t6plain_dst_s0,fp32,229,170,47955755,47932680,23075,250000000
nmc_t6plain_dst_s0,fp32,230,171,47955921,47932846,23075,250000000
nmc_t6plain_dst_s0,fp32,231,172,47956046,47932971,23075,250000000
nmc_t6plain_dst_s0,fp32,232,173,47956160,47933085,23075,250000000
nmc_t6plain_dst_s0,fp32,233,174,47956533,47933458,23075,250000000
nmc_t6plain_dst_s0,fp32,234,175,47956793,47933718,23075,250000000
