model,precision,n_windows,max_abs_diff_pct,mean_abs_diff_pct,transport,chemistry,feature,fold,seed,timebase,status
nmc_t6plain_dst_s0,fp32,66,1.7881393432617188e-05,4.334883256392046e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,T6PLAIN,DST,0,fixed 1.0 s; timestamp not transmitted,PASS
lfp_t6plain_dst_s0,fp32,66,1.1920928955078125e-05,4.425193324233547e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",LFP,T6PLAIN,DST,0,fixed 1.0 s; timestamp not transmitted,PASS
