chemistry,network_us_median,network_us_p90,flash_total_bytes,ram_total_bytes,flash_model_bytes,ram_arena_bytes,max_abs_diff_pct,preprocessing_us_median,end_to_end_us_median
LFP,190935.198,191079.204,448820.0,81880.0,403476.0,54784.0,1.7881393432617188e-05,92.26,191788.972
NMC,190702.328,190878.976,448820.0,81880.0,403476.0,54784.0,1.4901161193847656e-05,92.3,191838.8
