fold_holdout,range_cycle,status,objective_MAE_pct,infeasible_fraction,recovered_fraction,oracle_MAE_pct,plus5_MAE_pct,minus5_MAE_pct,recovery_median_s_among_recovered,recovery_p90_s_among_recovered,H_rail_fraction,boundary_parameters,training_files_sha256,q_soc,q_vp,q_h,r_voltage,q_soc_low,q_soc_high,q_vp_low,q_vp_high,q_h_low,q_h_high,r_voltage_low,r_voltage_high
DST,0,FEASIBLE,0.5655400239502999,0.18500000000000005,1.0,0.2711289779967562,0.2711289779967562,1.1543621158573873,0.0,11.71809899999792,0.0014037563027388224,r_voltage:high,90dea7e5f37f1c97868f5514704079861479850cb4816df03bff570a87b0a02b,1.149839521435417e-13,4.947167655809367e-06,6.493986468993568e-06,0.0005966728944083381,2.0236977973198825e-14,2.0236977973198823e-08,3.6956794320967e-06,3.6956794320967,9.745592322284449e-08,0.09745592322284449,6.158771960249179e-10,0.0006158771960249179
DST,1,FEASIBLE,0.40895653950818306,0.20499999999999996,1.0,0.15327192327997208,0.15327192327997208,0.9203257719646047,0.5025299999997515,4.803076000000151,0.05251227113482543,,90dea7e5f37f1c97868f5514704079861479850cb4816df03bff570a87b0a02b,4.146684331768765e-12,9.610938041765855e-06,0.08640663581444064,0.01148565813448911,2.0236977973198825e-14,2.0236977973198823e-08,3.6956794320967e-06,3.6956794320967,9.745592322284449e-08,0.09745592322284449,6.158771960249179e-10,0.06158771960249179
FUDS,0,FEASIBLE,0.6505913274477803,0.31999999999999995,1.0,0.30362861092289833,0.30362861092289833,1.344516760497544,0.0,11.71809899999792,0.0005782246432751645,,f31c76cb29de73f4d90d3f65270452cd16052dd25943ff98f7f16c61abcc7d07,1.7105529700271458e-12,4.006714510506954e-06,1.699650302053208e-07,0.0005354241348856182,2.0236977973198825e-14,2.0236977973198823e-08,3.6956794320967e-06,3.6956794320967,9.745592322284449e-08,0.09745592322284449,6.158771960249179e-10,0.0006158771960249179
US06,0,FEASIBLE,0.6908825631312899,0.565,0.90625,0.1352724753466406,0.1352724753466406,1.8021027387005888,0.0,0.0,0.00019758413417487572,,af19e17a22826dccd9038e41e444e5cb6582ed72d7438fab0fe58c682197196e,2.2868052790982725e-14,0.0013095482313141087,1.1271427803295468e-06,3.473439486700604e-05,2.0236977973198825e-14,2.0236977973198823e-08,3.6956794320967e-06,3.6956794320967,9.745592322284449e-08,0.09745592322284449,6.158771960249179e-10,0.0006158771960249179
